model,dataset,num of neg samples,accuracy
CLGR,PubMed,2,0.6980000138282776
CLGR,PubMed,2,0.7240000367164612
CLGR,PubMed,2,0.7210000157356262
CLGR,PubMed,2,0.7000000476837158
CLGR,PubMed,2,0.18000000715255737
CLGR,PubMed,2,0.7230000495910645
CLGR,PubMed,2,0.737000048160553
CLGR,PubMed,2,0.18000000715255737
CLGR,PubMed,2,0.7490000128746033
CLGR,PubMed,2,0.718000054359436
CLGR,PubMed,2,0.7490000128746033
CLGR,PubMed,2,0.7380000352859497
CLGR,PubMed,2,0.7200000286102295
CLGR,PubMed,2,0.7460000514984131
CLGR,PubMed,2,0.18000000715255737
CLGR,PubMed,2,0.687000036239624
CLGR,PubMed,2,0.6920000314712524
CLGR,PubMed,2,0.7350000143051147
CLGR,PubMed,2,0.7420000433921814
CLGR,PubMed,2,0.6540000438690186
CLGR,PubMed,4,0.18000000715255737
CLGR,PubMed,4,0.7430000305175781
CLGR,PubMed,4,0.18000000715255737
CLGR,PubMed,4,0.18000000715255737
CLGR,PubMed,4,0.7460000514984131
CLGR,PubMed,4,0.7460000514984131
CLGR,PubMed,4,0.7410000562667847
CLGR,PubMed,4,0.6960000395774841
CLGR,PubMed,4,0.7160000205039978
CLGR,PubMed,4,0.18000000715255737
CLGR,PubMed,4,0.7140000462532043
CLGR,PubMed,4,0.7110000252723694
CLGR,PubMed,4,0.7580000162124634
CLGR,PubMed,4,0.6930000185966492
CLGR,PubMed,4,0.6840000152587891
CLGR,PubMed,4,0.7230000495910645
CLGR,PubMed,4,0.690000057220459
CLGR,PubMed,4,0.7190000414848328
CLGR,PubMed,4,0.7120000123977661
CLGR,PubMed,4,0.6920000314712524
CLGR,PubMed,8,0.800000011920929
CLGR,PubMed,8,0.7940000295639038
CLGR,PubMed,8,0.800000011920929
CLGR,PubMed,8,0.800000011920929
CLGR,PubMed,8,0.7990000247955322
CLGR,PubMed,8,0.815000057220459
CLGR,PubMed,8,0.8050000667572021
CLGR,PubMed,8,0.8170000314712524
CLGR,PubMed,8,0.8180000185966492
CLGR,PubMed,8,0.784000039100647
CLGR,PubMed,8,0.7930000424385071
CLGR,PubMed,8,0.8070000410079956
CLGR,PubMed,8,0.8190000653266907
CLGR,PubMed,8,0.8100000619888306
CLGR,PubMed,8,0.781000018119812
CLGR,PubMed,8,0.8080000281333923
CLGR,PubMed,8,0.8030000329017639
CLGR,PubMed,8,0.8030000329017639
CLGR,PubMed,8,0.8110000491142273
CLGR,PubMed,8,0.8110000491142273
CLGR,PubMed,16,0.8200000524520874
CLGR,PubMed,16,0.8140000104904175
CLGR,PubMed,16,0.8170000314712524
CLGR,PubMed,16,0.8050000667572021
CLGR,PubMed,16,0.8170000314712524
CLGR,PubMed,16,0.8190000653266907
CLGR,PubMed,16,0.815000057220459
CLGR,PubMed,16,0.8060000538825989
CLGR,PubMed,16,0.8100000619888306
CLGR,PubMed,16,0.815000057220459
CLGR,PubMed,16,0.8100000619888306
CLGR,PubMed,16,0.8190000653266907
CLGR,PubMed,16,0.815000057220459
CLGR,PubMed,16,0.8020000457763672
CLGR,PubMed,16,0.8030000329017639
CLGR,PubMed,16,0.7870000600814819
CLGR,PubMed,16,0.8030000329017639
CLGR,PubMed,16,0.7970000505447388
CLGR,PubMed,16,0.812000036239624
CLGR,PubMed,16,0.8140000104904175
CLGR,PubMed,32,0.7980000376701355
CLGR,PubMed,32,0.8030000329017639
CLGR,PubMed,32,0.8100000619888306
CLGR,PubMed,32,0.8180000185966492
CLGR,PubMed,32,0.8060000538825989
CLGR,PubMed,32,0.8170000314712524
CLGR,PubMed,32,0.8160000443458557
CLGR,PubMed,32,0.8070000410079956
CLGR,PubMed,32,0.8050000667572021
CLGR,PubMed,32,0.812000036239624
CLGR,PubMed,32,0.8040000200271606
CLGR,PubMed,32,0.8080000281333923
CLGR,PubMed,32,0.8080000281333923
CLGR,PubMed,32,0.8130000233650208
CLGR,PubMed,32,0.8060000538825989
CLGR,PubMed,32,0.8190000653266907
CLGR,PubMed,32,0.8050000667572021
CLGR,PubMed,32,0.8260000348091125
CLGR,PubMed,32,0.8140000104904175
CLGR,PubMed,32,0.8140000104904175
CLGR,PubMed,64,0.8020000457763672
CLGR,PubMed,64,0.8060000538825989
CLGR,PubMed,64,0.8200000524520874
CLGR,PubMed,64,0.8160000443458557
CLGR,PubMed,64,0.815000057220459
CLGR,PubMed,64,0.8110000491142273
CLGR,PubMed,64,0.8110000491142273
CLGR,PubMed,64,0.8170000314712524
CLGR,PubMed,64,0.8210000395774841
CLGR,PubMed,64,0.8080000281333923
CLGR,PubMed,64,0.8010000586509705
CLGR,PubMed,64,0.812000036239624
CLGR,PubMed,64,0.8050000667572021
CLGR,PubMed,64,0.815000057220459
CLGR,PubMed,64,0.8230000138282776
CLGR,PubMed,64,0.8060000538825989
CLGR,PubMed,64,0.8110000491142273
CLGR,PubMed,64,0.8220000267028809
CLGR,PubMed,64,0.8190000653266907
CLGR,PubMed,64,0.812000036239624
CLGR,PubMed,128,0.8170000314712524
CLGR,PubMed,128,0.8160000443458557
CLGR,PubMed,128,0.8130000233650208
CLGR,PubMed,128,0.8070000410079956
CLGR,PubMed,128,0.8160000443458557
CLGR,PubMed,128,0.8100000619888306
CLGR,PubMed,128,0.7980000376701355
CLGR,PubMed,128,0.8060000538825989
CLGR,PubMed,128,0.8190000653266907
CLGR,PubMed,128,0.8180000185966492
CLGR,PubMed,128,0.8190000653266907
CLGR,PubMed,128,0.8200000524520874
