model,dataset,num of neg samples,accuracy
CLGR,CS,2,0.8319242000579834
CLGR,CS,2,0.8034229278564453
CLGR,CS,2,0.8246966004371643
CLGR,CS,2,0.824219286441803
CLGR,CS,2,0.7869221568107605
CLGR,CS,2,0.8353334665298462
CLGR,CS,2,0.8330151438713074
CLGR,CS,2,0.814946174621582
CLGR,CS,2,0.8337652087211609
CLGR,CS,2,0.8009682297706604
CLGR,CS,2,0.8207418918609619
CLGR,CS,2,0.824219286441803
CLGR,CS,2,0.8406518697738647
CLGR,CS,2,0.8107187151908875
CLGR,CS,2,0.8316514492034912
CLGR,CS,2,0.7884904146194458
CLGR,CS,2,0.8266739845275879
CLGR,CS,2,0.8205373287200928
CLGR,CS,2,0.8258557319641113
CLGR,CS,2,0.8186281323432922
CLGR,CS,8,0.8828583359718323
CLGR,CS,8,0.8925405740737915
CLGR,CS,8,0.8825855851173401
CLGR,CS,8,0.8842220306396484
CLGR,CS,8,0.875357985496521
CLGR,CS,8,0.8887222409248352
CLGR,CS,8,0.8879040479660034
CLGR,CS,8,0.887358546257019
CLGR,CS,8,0.884972095489502
CLGR,CS,8,0.8902904987335205
CLGR,CS,8,0.8771308064460754
CLGR,CS,8,0.8879040479660034
CLGR,CS,8,0.8718124032020569
CLGR,CS,8,0.894313395023346
CLGR,CS,8,0.8874949216842651
CLGR,CS,8,0.8879040479660034
CLGR,CS,8,0.888449490070343
CLGR,CS,8,0.8807446360588074
CLGR,CS,8,0.8841538429260254
CLGR,CS,8,0.8917223811149597
CLGR,CS,32,0.9366562366485596
CLGR,CS,32,0.9328379034996033
CLGR,CS,32,0.9391790628433228
CLGR,CS,32,0.9343379735946655
CLGR,CS,32,0.9352925419807434
CLGR,CS,32,0.9362471103668213
CLGR,CS,32,0.9380199313163757
CLGR,CS,32,0.9348834156990051
CLGR,CS,32,0.9349516034126282
CLGR,CS,32,0.933519721031189
CLGR,CS,32,0.933519721031189
CLGR,CS,32,0.934678852558136
CLGR,CS,32,0.9365198612213135
CLGR,CS,32,0.9389063715934753
CLGR,CS,32,0.9393154382705688
CLGR,CS,32,0.9352925419807434
CLGR,CS,32,0.9361789226531982
CLGR,CS,32,0.937269926071167
CLGR,CS,32,0.9358380436897278
CLGR,CS,32,0.9322242140769958
CLGR,CS,128,0.9355652928352356
CLGR,CS,128,0.937269926071167
CLGR,CS,128,0.937269926071167
CLGR,CS,128,0.9382926821708679
CLGR,CS,128,0.9378153681755066
CLGR,CS,128,0.9377471804618835
CLGR,CS,128,0.9387699961662292
CLGR,CS,128,0.9378153681755066
CLGR,CS,128,0.9344061613082886
CLGR,CS,128,0.937269926071167
CLGR,CS,128,0.9359744191169739
CLGR,CS,128,0.9392472505569458
CLGR,CS,128,0.937201738357544
CLGR,CS,128,0.9394518136978149
CLGR,CS,128,0.9387018084526062
CLGR,CS,128,0.9344061613082886
CLGR,CS,128,0.9401336908340454
CLGR,CS,128,0.9349516034126282
CLGR,CS,128,0.9376108050346375
CLGR,CS,128,0.9376108050346375
CLGR,CS,512,0.9397245645523071
CLGR,CS,512,0.9390426874160767
CLGR,CS,512,0.9355652928352356
CLGR,CS,512,0.9407473206520081
CLGR,CS,512,0.9414973855018616
CLGR,CS,512,0.9364516735076904
CLGR,CS,512,0.9366562366485596
CLGR,CS,512,0.9339288473129272
CLGR,CS,512,0.9391790628433228
CLGR,CS,512,0.9357016682624817
CLGR,CS,512,0.9376789927482605
CLGR,CS,512,0.93733811378479
CLGR,CS,512,0.9365198612213135
CLGR,CS,512,0.9377471804618835
CLGR,CS,512,0.9368607997894287
CLGR,CS,512,0.9405427575111389
CLGR,CS,512,0.9339970350265503
CLGR,CS,512,0.9376108050346375
CLGR,CS,512,0.9403382539749146
CLGR,CS,512,0.9367244243621826
