model,dataset,num of neg samples,accuracy
CLGR,CiteSeer,2,0.706000030040741
CLGR,CiteSeer,2,0.7100000381469727
CLGR,CiteSeer,2,0.6300000548362732
CLGR,CiteSeer,2,0.5300000309944153
CLGR,CiteSeer,2,0.690000057220459
CLGR,CiteSeer,2,0.687000036239624
CLGR,CiteSeer,2,0.6640000343322754
CLGR,CiteSeer,2,0.703000009059906
CLGR,CiteSeer,2,0.6240000128746033
CLGR,CiteSeer,2,0.6150000095367432
CLGR,CiteSeer,2,0.6480000019073486
CLGR,CiteSeer,2,0.6700000166893005
CLGR,CiteSeer,2,0.6340000033378601
CLGR,CiteSeer,2,0.5600000023841858
CLGR,CiteSeer,2,0.6490000486373901
CLGR,CiteSeer,2,0.6790000200271606
CLGR,CiteSeer,2,0.6430000066757202
CLGR,CiteSeer,2,0.6960000395774841
CLGR,CiteSeer,2,0.7130000591278076
CLGR,CiteSeer,2,0.6080000400543213
CLGR,CiteSeer,8,0.7150000333786011
CLGR,CiteSeer,8,0.7070000171661377
CLGR,CiteSeer,8,0.7010000348091125
CLGR,CiteSeer,8,0.6760000586509705
CLGR,CiteSeer,8,0.6890000104904175
CLGR,CiteSeer,8,0.7010000348091125
CLGR,CiteSeer,8,0.7100000381469727
CLGR,CiteSeer,8,0.6840000152587891
CLGR,CiteSeer,8,0.690000057220459
CLGR,CiteSeer,8,0.6830000281333923
CLGR,CiteSeer,8,0.7140000462532043
CLGR,CiteSeer,8,0.6940000057220459
CLGR,CiteSeer,8,0.6800000071525574
CLGR,CiteSeer,8,0.6970000267028809
CLGR,CiteSeer,8,0.7020000219345093
CLGR,CiteSeer,8,0.690000057220459
CLGR,CiteSeer,8,0.7010000348091125
CLGR,CiteSeer,8,0.7080000042915344
CLGR,CiteSeer,8,0.7100000381469727
CLGR,CiteSeer,8,0.703000009059906
CLGR,CiteSeer,32,0.7220000624656677
CLGR,CiteSeer,32,0.7280000448226929
CLGR,CiteSeer,32,0.7330000400543213
CLGR,CiteSeer,32,0.734000027179718
CLGR,CiteSeer,32,0.7260000109672546
CLGR,CiteSeer,32,0.7220000624656677
CLGR,CiteSeer,32,0.7280000448226929
CLGR,CiteSeer,32,0.7200000286102295
CLGR,CiteSeer,32,0.7290000319480896
CLGR,CiteSeer,32,0.7230000495910645
CLGR,CiteSeer,32,0.7150000333786011
CLGR,CiteSeer,32,0.7280000448226929
CLGR,CiteSeer,32,0.7200000286102295
CLGR,CiteSeer,32,0.7210000157356262
CLGR,CiteSeer,32,0.7250000238418579
CLGR,CiteSeer,32,0.7200000286102295
CLGR,CiteSeer,32,0.7280000448226929
CLGR,CiteSeer,32,0.7310000061988831
CLGR,CiteSeer,32,0.7310000061988831
CLGR,CiteSeer,32,0.7240000367164612
CLGR,CiteSeer,128,0.7290000319480896
CLGR,CiteSeer,128,0.7150000333786011
CLGR,CiteSeer,128,0.7350000143051147
CLGR,CiteSeer,128,0.7220000624656677
CLGR,CiteSeer,128,0.7200000286102295
CLGR,CiteSeer,128,0.7270000576972961
CLGR,CiteSeer,128,0.7230000495910645
CLGR,CiteSeer,128,0.7360000610351562
CLGR,CiteSeer,128,0.7230000495910645
CLGR,CiteSeer,128,0.7220000624656677
CLGR,CiteSeer,128,0.7190000414848328
CLGR,CiteSeer,128,0.7290000319480896
CLGR,CiteSeer,128,0.7290000319480896
CLGR,CiteSeer,128,0.7210000157356262
CLGR,CiteSeer,128,0.7190000414848328
CLGR,CiteSeer,128,0.7390000224113464
CLGR,CiteSeer,128,0.7190000414848328
CLGR,CiteSeer,128,0.7280000448226929
CLGR,CiteSeer,128,0.718000054359436
CLGR,CiteSeer,128,0.7230000495910645
CLGR,CiteSeer,512,0.7310000061988831
CLGR,CiteSeer,512,0.7380000352859497
CLGR,CiteSeer,512,0.7290000319480896
CLGR,CiteSeer,512,0.7220000624656677
CLGR,CiteSeer,512,0.7190000414848328
CLGR,CiteSeer,512,0.7240000367164612
CLGR,CiteSeer,512,0.7350000143051147
CLGR,CiteSeer,512,0.7140000462532043
CLGR,CiteSeer,512,0.7220000624656677
CLGR,CiteSeer,512,0.7210000157356262
CLGR,CiteSeer,512,0.7230000495910645
CLGR,CiteSeer,512,0.7330000400543213
CLGR,CiteSeer,512,0.718000054359436
CLGR,CiteSeer,512,0.7300000190734863
CLGR,CiteSeer,512,0.7260000109672546
CLGR,CiteSeer,512,0.7190000414848328
CLGR,CiteSeer,512,0.7250000238418579
CLGR,CiteSeer,512,0.7300000190734863
CLGR,CiteSeer,512,0.7160000205039978
CLGR,CiteSeer,512,0.7230000495910645
