model,dataset,num of neg samples,accuracy
CLGR,Computers,2,0.7964915633201599
CLGR,Computers,2,0.8615705966949463
CLGR,Computers,2,0.8073986768722534
CLGR,Computers,2,0.8752954006195068
CLGR,Computers,2,0.7391383647918701
CLGR,Computers,2,0.7381384968757629
CLGR,Computers,2,0.8265770077705383
CLGR,Computers,2,0.8464824557304382
CLGR,Computers,2,0.792583167552948
CLGR,Computers,2,0.7418650984764099
CLGR,Computers,2,0.7523177862167358
CLGR,Computers,2,0.8282130360603333
CLGR,Computers,2,0.8618432879447937
CLGR,Computers,2,0.8512088656425476
CLGR,Computers,2,0.8335757255554199
CLGR,Computers,2,0.8157607913017273
CLGR,Computers,2,0.6599709391593933
CLGR,Computers,2,0.8386657238006592
CLGR,Computers,2,0.8547536730766296
CLGR,Computers,2,0.5128158330917358
CLGR,Computers,8,0.8741137981414795
CLGR,Computers,8,0.877022385597229
CLGR,Computers,8,0.8812034130096436
CLGR,Computers,8,0.8641155958175659
CLGR,Computers,8,0.8463006615638733
CLGR,Computers,8,0.8482094407081604
CLGR,Computers,8,0.8756589889526367
CLGR,Computers,8,0.8711143136024475
CLGR,Computers,8,0.8625704646110535
CLGR,Computers,8,0.8776586055755615
CLGR,Computers,8,0.8685693740844727
CLGR,Computers,8,0.8642064929008484
CLGR,Computers,8,0.8751136064529419
CLGR,Computers,8,0.874931812286377
CLGR,Computers,8,0.8724777102470398
CLGR,Computers,8,0.8781130909919739
CLGR,Computers,8,0.862479567527771
CLGR,Computers,8,0.8800218105316162
CLGR,Computers,8,0.8558443784713745
CLGR,Computers,8,0.8679330945014954
CLGR,Computers,32,0.8942010402679443
CLGR,Computers,32,0.8944737315177917
CLGR,Computers,32,0.8843846321105957
CLGR,Computers,32,0.8910198211669922
CLGR,Computers,32,0.8841120004653931
CLGR,Computers,32,0.8889293074607849
CLGR,Computers,32,0.8896564245223999
CLGR,Computers,32,0.895837128162384
CLGR,Computers,32,0.8934739232063293
CLGR,Computers,32,0.8939283490180969
CLGR,Computers,32,0.8935648202896118
CLGR,Computers,32,0.8927467465400696
CLGR,Computers,32,0.8903835415840149
CLGR,Computers,32,0.885748028755188
CLGR,Computers,32,0.8969278335571289
CLGR,Computers,32,0.8950191140174866
CLGR,Computers,32,0.8927467465400696
CLGR,Computers,32,0.8976549506187439
CLGR,Computers,32,0.899745523929596
CLGR,Computers,32,0.8872932195663452
CLGR,Computers,128,0.8907471299171448
CLGR,Computers,128,0.8886566162109375
CLGR,Computers,128,0.8919287323951721
CLGR,Computers,128,0.8945646286010742
CLGR,Computers,128,0.8914742469787598
CLGR,Computers,128,0.8946555256843567
CLGR,Computers,128,0.8915651440620422
CLGR,Computers,128,0.8935648202896118
CLGR,Computers,128,0.8936557173728943
CLGR,Computers,128,0.8927467465400696
CLGR,Computers,128,0.8957462310791016
CLGR,Computers,128,0.896564245223999
CLGR,Computers,128,0.8941101431846619
CLGR,Computers,128,0.8839302062988281
CLGR,Computers,128,0.8920196294784546
CLGR,Computers,128,0.8978367447853088
CLGR,Computers,128,0.8924741148948669
CLGR,Computers,128,0.900109052658081
CLGR,Computers,128,0.8945646286010742
CLGR,Computers,128,0.8877477049827576
CLGR,Computers,512,0.9025631546974182
CLGR,Computers,512,0.8979276418685913
CLGR,Computers,512,0.8942010402679443
CLGR,Computers,512,0.8987456560134888
CLGR,Computers,512,0.896564245223999
CLGR,Computers,512,0.8931103348731995
CLGR,Computers,512,0.9006544351577759
CLGR,Computers,512,0.8970187306404114
CLGR,Computers,512,0.896018922328949
CLGR,Computers,512,0.8925650119781494
CLGR,Computers,512,0.8946555256843567
CLGR,Computers,512,0.8969278335571289
CLGR,Computers,512,0.9019269347190857
CLGR,Computers,512,0.8961098194122314
CLGR,Computers,512,0.8924741148948669
CLGR,Computers,512,0.8972005248069763
CLGR,Computers,512,0.8901109099388123
CLGR,Computers,512,0.8973823189735413
CLGR,Computers,512,0.8982912302017212
CLGR,Computers,512,0.8962915539741516
