model,dataset,num of neg samples,accuracy
CLGR,Cora,2,0.6540000438690186
CLGR,Cora,2,0.6790000200271606
CLGR,Cora,2,0.7050000429153442
CLGR,Cora,2,0.7150000333786011
CLGR,Cora,2,0.7250000238418579
CLGR,Cora,2,0.7600000500679016
CLGR,Cora,2,0.6770000457763672
CLGR,Cora,2,0.6840000152587891
CLGR,Cora,2,0.6880000233650208
CLGR,Cora,2,0.6480000019073486
CLGR,Cora,2,0.6110000014305115
CLGR,Cora,2,0.718000054359436
CLGR,Cora,2,0.7310000061988831
CLGR,Cora,2,0.6740000247955322
CLGR,Cora,2,0.7250000238418579
CLGR,Cora,2,0.6070000529289246
CLGR,Cora,2,0.7170000076293945
CLGR,Cora,2,0.7110000252723694
CLGR,Cora,2,0.7140000462532043
CLGR,Cora,2,0.6580000519752502
CLGR,Cora,8,0.7920000553131104
CLGR,Cora,8,0.7800000309944153
CLGR,Cora,8,0.8170000314712524
CLGR,Cora,8,0.800000011920929
CLGR,Cora,8,0.7800000309944153
CLGR,Cora,8,0.796000063419342
CLGR,Cora,8,0.7770000100135803
CLGR,Cora,8,0.7950000166893005
CLGR,Cora,8,0.7570000290870667
CLGR,Cora,8,0.7890000343322754
CLGR,Cora,8,0.8090000152587891
CLGR,Cora,8,0.8060000538825989
CLGR,Cora,8,0.8220000267028809
CLGR,Cora,8,0.8010000586509705
CLGR,Cora,8,0.7940000295639038
CLGR,Cora,8,0.7920000553131104
CLGR,Cora,8,0.7940000295639038
CLGR,Cora,8,0.7750000357627869
CLGR,Cora,8,0.7890000343322754
CLGR,Cora,8,0.8100000619888306
CLGR,Cora,32,0.8280000686645508
CLGR,Cora,32,0.8390000462532043
CLGR,Cora,32,0.8300000429153442
CLGR,Cora,32,0.8270000219345093
CLGR,Cora,32,0.8410000205039978
CLGR,Cora,32,0.8380000591278076
CLGR,Cora,32,0.843000054359436
CLGR,Cora,32,0.8530000448226929
CLGR,Cora,32,0.8270000219345093
CLGR,Cora,32,0.8390000462532043
CLGR,Cora,32,0.8490000367164612
CLGR,Cora,32,0.8370000123977661
CLGR,Cora,32,0.8390000462532043
CLGR,Cora,32,0.8370000123977661
CLGR,Cora,32,0.8300000429153442
CLGR,Cora,32,0.843000054359436
CLGR,Cora,32,0.8410000205039978
CLGR,Cora,32,0.8410000205039978
CLGR,Cora,32,0.8470000624656677
CLGR,Cora,32,0.831000030040741
CLGR,Cora,128,0.8370000123977661
CLGR,Cora,128,0.8330000638961792
CLGR,Cora,128,0.8540000319480896
CLGR,Cora,128,0.8300000429153442
CLGR,Cora,128,0.8470000624656677
CLGR,Cora,128,0.8380000591278076
CLGR,Cora,128,0.8370000123977661
CLGR,Cora,128,0.8380000591278076
CLGR,Cora,128,0.8440000414848328
CLGR,Cora,128,0.8420000672340393
CLGR,Cora,128,0.8420000672340393
CLGR,Cora,128,0.8450000286102295
CLGR,Cora,128,0.8450000286102295
CLGR,Cora,128,0.843000054359436
CLGR,Cora,128,0.8400000333786011
CLGR,Cora,128,0.8330000638961792
CLGR,Cora,128,0.8350000381469727
CLGR,Cora,128,0.8330000638961792
CLGR,Cora,128,0.8350000381469727
CLGR,Cora,128,0.8380000591278076
CLGR,Cora,512,0.8380000591278076
CLGR,Cora,512,0.8380000591278076
CLGR,Cora,512,0.8370000123977661
CLGR,Cora,512,0.8360000252723694
CLGR,Cora,512,0.843000054359436
CLGR,Cora,512,0.8290000557899475
CLGR,Cora,512,0.8400000333786011
CLGR,Cora,512,0.8470000624656677
CLGR,Cora,512,0.8460000157356262
CLGR,Cora,512,0.8460000157356262
CLGR,Cora,512,0.8410000205039978
CLGR,Cora,512,0.8440000414848328
CLGR,Cora,512,0.8540000319480896
CLGR,Cora,512,0.8330000638961792
CLGR,Cora,512,0.8380000591278076
CLGR,Cora,512,0.8460000157356262
CLGR,Cora,512,0.8530000448226929
CLGR,Cora,512,0.8360000252723694
CLGR,Cora,512,0.8360000252723694
CLGR,Cora,512,0.8510000109672546
