model,dataset,num of neg samples,accuracy
CLGR,Photo,2,0.9209150671958923
CLGR,Photo,2,0.894444465637207
CLGR,Photo,2,0.920751690864563
CLGR,Photo,2,0.9070261716842651
CLGR,Photo,2,0.9171568751335144
CLGR,Photo,2,0.9019607901573181
CLGR,Photo,2,0.9058823585510254
CLGR,Photo,2,0.9104575514793396
CLGR,Photo,2,0.8895425200462341
CLGR,Photo,2,0.9022876024246216
CLGR,Photo,2,0.8844771385192871
CLGR,Photo,2,0.8756536245346069
CLGR,Photo,2,0.9058823585510254
CLGR,Photo,2,0.9047386050224304
CLGR,Photo,2,0.9029412269592285
CLGR,Photo,2,0.910620927810669
CLGR,Photo,2,0.9120915532112122
CLGR,Photo,2,0.8764706254005432
CLGR,Photo,2,0.885130763053894
CLGR,Photo,2,0.912581741809845
CLGR,Photo,8,0.9254902005195618
CLGR,Photo,8,0.9282680153846741
CLGR,Photo,8,0.9212418794631958
CLGR,Photo,8,0.9279412031173706
CLGR,Photo,8,0.9261438250541687
CLGR,Photo,8,0.9227124452590942
CLGR,Photo,8,0.9258170127868652
CLGR,Photo,8,0.9222222566604614
CLGR,Photo,8,0.926960825920105
CLGR,Photo,8,0.920098066329956
CLGR,Photo,8,0.9228758215904236
CLGR,Photo,8,0.9245098233222961
CLGR,Photo,8,0.9254902005195618
CLGR,Photo,8,0.9196078777313232
CLGR,Photo,8,0.9240196347236633
CLGR,Photo,8,0.9220588803291321
CLGR,Photo,8,0.9228758215904236
CLGR,Photo,8,0.9223856329917908
CLGR,Photo,8,0.9179738759994507
CLGR,Photo,8,0.921895444393158
CLGR,Photo,32,0.9346405267715454
CLGR,Photo,32,0.9282680153846741
CLGR,Photo,32,0.9338235855102539
CLGR,Photo,32,0.9243464469909668
CLGR,Photo,32,0.9357843399047852
CLGR,Photo,32,0.930065393447876
CLGR,Photo,32,0.9323529601097107
CLGR,Photo,32,0.9361111521720886
CLGR,Photo,32,0.9387255311012268
CLGR,Photo,32,0.9323529601097107
CLGR,Photo,32,0.9256536364555359
CLGR,Photo,32,0.9343137741088867
CLGR,Photo,32,0.9338235855102539
CLGR,Photo,32,0.9305555820465088
CLGR,Photo,32,0.9320261478424072
CLGR,Photo,32,0.9312092065811157
CLGR,Photo,32,0.9357843399047852
CLGR,Photo,32,0.9313725829124451
CLGR,Photo,32,0.930065393447876
CLGR,Photo,32,0.9316993951797485
CLGR,Photo,128,0.9302287697792053
CLGR,Photo,128,0.923856258392334
CLGR,Photo,128,0.9361111521720886
CLGR,Photo,128,0.9248366355895996
CLGR,Photo,128,0.930065393447876
CLGR,Photo,128,0.935130774974823
CLGR,Photo,128,0.9184640645980835
CLGR,Photo,128,0.9346405267715454
CLGR,Photo,128,0.9334967732429504
CLGR,Photo,128,0.933169960975647
CLGR,Photo,128,0.9261438250541687
CLGR,Photo,128,0.9330065846443176
CLGR,Photo,128,0.9308823943138123
CLGR,Photo,128,0.936274528503418
CLGR,Photo,128,0.9297385811805725
CLGR,Photo,128,0.9310457706451416
CLGR,Photo,128,0.9316993951797485
CLGR,Photo,128,0.9346405267715454
CLGR,Photo,128,0.9328431487083435
CLGR,Photo,128,0.9336601495742798
CLGR,Photo,512,0.9312092065811157
CLGR,Photo,512,0.9303922057151794
CLGR,Photo,512,0.9320261478424072
CLGR,Photo,512,0.9341503381729126
CLGR,Photo,512,0.9274510145187378
CLGR,Photo,512,0.9344771504402161
CLGR,Photo,512,0.9341503381729126
CLGR,Photo,512,0.9344771504402161
CLGR,Photo,512,0.9274510145187378
CLGR,Photo,512,0.9336601495742798
CLGR,Photo,512,0.9312092065811157
CLGR,Photo,512,0.9352941513061523
CLGR,Photo,512,0.9370915293693542
CLGR,Photo,512,0.9251634478569031
CLGR,Photo,512,0.9352941513061523
CLGR,Photo,512,0.9328431487083435
CLGR,Photo,512,0.9369281530380249
CLGR,Photo,512,0.9323529601097107
CLGR,Photo,512,0.9279412031173706
CLGR,Photo,512,0.9303922057151794
