model,dataset,num of neg samples,accuracy
CLGR,Physics,2,0.9374864101409912
CLGR,Physics,2,0.9476335644721985
CLGR,Physics,2,0.9471624493598938
CLGR,Physics,2,0.9455679059028625
CLGR,Physics,2,0.9489019513130188
CLGR,Physics,2,0.9504240155220032
CLGR,Physics,2,0.9466913342475891
CLGR,Physics,2,0.9474523663520813
CLGR,Physics,2,0.9410378932952881
CLGR,Physics,2,0.948756992816925
CLGR,Physics,2,0.9483221173286438
CLGR,Physics,2,0.9500978589057922
CLGR,Physics,2,0.948503315448761
CLGR,Physics,2,0.950242817401886
CLGR,Physics,2,0.9484670758247375
CLGR,Physics,2,0.949083149433136
CLGR,Physics,2,0.9479959607124329
CLGR,Physics,2,0.9504602551460266
CLGR,Physics,2,0.9433572292327881
CLGR,Physics,2,0.946437656879425
CLGR,Physics,8,0.9529607892036438
CLGR,Physics,8,0.9524534344673157
CLGR,Physics,8,0.9498804211616516
CLGR,Physics,8,0.9511488080024719
CLGR,Physics,8,0.9504240155220032
CLGR,Physics,8,0.9508951306343079
CLGR,Physics,8,0.9521635174751282
CLGR,Physics,8,0.9521997570991516
CLGR,Physics,8,0.95049649477005
CLGR,Physics,8,0.9543741345405579
CLGR,Physics,8,0.9524896740913391
CLGR,Physics,8,0.952235996723175
CLGR,Physics,8,0.9505327343940735
CLGR,Physics,8,0.9507864117622375
CLGR,Physics,8,0.951402485370636
CLGR,Physics,8,0.9537943005561829
CLGR,Physics,8,0.9523084759712219
CLGR,Physics,8,0.9495905041694641
CLGR,Physics,8,0.949916660785675
CLGR,Physics,8,0.9504240155220032
CLGR,Physics,32,0.9564397931098938
CLGR,Physics,32,0.9542654156684875
CLGR,Physics,32,0.9550626873970032
CLGR,Physics,32,0.9541204571723938
CLGR,Physics,32,0.9549902081489563
CLGR,Physics,32,0.9557512402534485
CLGR,Physics,32,0.9552438855171204
CLGR,Physics,32,0.9565122723579407
CLGR,Physics,32,0.9544466137886047
CLGR,Physics,32,0.9566934704780579
CLGR,Physics,32,0.9537943005561829
CLGR,Physics,32,0.9533231854438782
CLGR,Physics,32,0.9546278119087219
CLGR,Physics,32,0.9561498761177063
CLGR,Physics,32,0.9533594250679016
CLGR,Physics,32,0.9562948346138
CLGR,Physics,32,0.9554975628852844
CLGR,Physics,32,0.9557512402534485
CLGR,Physics,32,0.9534319043159485
CLGR,Physics,32,0.9539392590522766
CLGR,Physics,128,0.9535768628120422
CLGR,Physics,128,0.956041157245636
CLGR,Physics,128,0.9553163647651672
CLGR,Physics,128,0.9567297101020813
CLGR,Physics,128,0.9561498761177063
CLGR,Physics,128,0.9556787610054016
CLGR,Physics,128,0.9555338025093079
CLGR,Physics,128,0.9564397931098938
CLGR,Physics,128,0.9527795910835266
CLGR,Physics,128,0.9563673138618469
CLGR,Physics,128,0.955715000629425
CLGR,Physics,128,0.9549177289009094
CLGR,Physics,128,0.9560049176216125
CLGR,Physics,128,0.9540479779243469
CLGR,Physics,128,0.9559686779975891
CLGR,Physics,128,0.954555332660675
CLGR,Physics,128,0.9545915722846985
CLGR,Physics,128,0.95513516664505
CLGR,Physics,128,0.9549177289009094
CLGR,Physics,128,0.9522722363471985
CLGR,Physics,512,0.9552801251411438
CLGR,Physics,512,0.9563310742378235
CLGR,Physics,512,0.9554975628852844
CLGR,Physics,512,0.9550989270210266
CLGR,Physics,512,0.9552438855171204
CLGR,Physics,512,0.9552438855171204
CLGR,Physics,512,0.955715000629425
CLGR,Physics,512,0.9547002911567688
CLGR,Physics,512,0.9562948346138
CLGR,Physics,512,0.9546278119087219
CLGR,Physics,512,0.954301655292511
CLGR,Physics,512,0.9556787610054016
CLGR,Physics,512,0.9567659497261047
CLGR,Physics,512,0.9520547986030579
CLGR,Physics,512,0.9552801251411438
CLGR,Physics,512,0.9547727704048157
CLGR,Physics,512,0.955461323261261
CLGR,Physics,512,0.9564035534858704
CLGR,Physics,512,0.9556425213813782
CLGR,Physics,512,0.9550264477729797
