model,dataset,num of neg samples,accuracy
CLGR,PubMed,2,0.6760000586509705
CLGR,PubMed,2,0.7120000123977661
CLGR,PubMed,2,0.7230000495910645
CLGR,PubMed,2,0.6940000057220459
CLGR,PubMed,2,0.7210000157356262
CLGR,PubMed,2,0.7300000190734863
CLGR,PubMed,2,0.7280000448226929
CLGR,PubMed,2,0.737000048160553
CLGR,PubMed,2,0.7150000333786011
CLGR,PubMed,2,0.7100000381469727
CLGR,PubMed,2,0.7330000400543213
CLGR,PubMed,2,0.753000020980835
CLGR,PubMed,2,0.7170000076293945
CLGR,PubMed,2,0.7000000476837158
CLGR,PubMed,2,0.7630000114440918
CLGR,PubMed,2,0.7160000205039978
CLGR,PubMed,2,0.7710000276565552
CLGR,PubMed,2,0.7560000419616699
CLGR,PubMed,2,0.7300000190734863
CLGR,PubMed,2,0.706000030040741
CLGR,PubMed,8,0.7470000386238098
CLGR,PubMed,8,0.753000020980835
CLGR,PubMed,8,0.781000018119812
CLGR,PubMed,8,0.7610000371932983
CLGR,PubMed,8,0.7260000109672546
CLGR,PubMed,8,0.7320000529289246
CLGR,PubMed,8,0.7860000133514404
CLGR,PubMed,8,0.7860000133514404
CLGR,PubMed,8,0.7560000419616699
CLGR,PubMed,8,0.7830000519752502
CLGR,PubMed,8,0.7820000648498535
CLGR,PubMed,8,0.7790000438690186
CLGR,PubMed,8,0.737000048160553
CLGR,PubMed,8,0.7750000357627869
CLGR,PubMed,8,0.7630000114440918
CLGR,PubMed,8,0.7800000309944153
CLGR,PubMed,8,0.7550000548362732
CLGR,PubMed,8,0.7570000290870667
CLGR,PubMed,8,0.7780000567436218
CLGR,PubMed,8,0.7870000600814819
CLGR,PubMed,32,0.831000030040741
CLGR,PubMed,32,0.8140000104904175
CLGR,PubMed,32,0.8190000653266907
CLGR,PubMed,32,0.812000036239624
CLGR,PubMed,32,0.8360000252723694
CLGR,PubMed,32,0.8270000219345093
CLGR,PubMed,32,0.8410000205039978
CLGR,PubMed,32,0.8300000429153442
CLGR,PubMed,32,0.8320000171661377
CLGR,PubMed,32,0.8330000638961792
CLGR,PubMed,32,0.8270000219345093
CLGR,PubMed,32,0.8290000557899475
CLGR,PubMed,32,0.8160000443458557
CLGR,PubMed,32,0.8320000171661377
CLGR,PubMed,32,0.8270000219345093
CLGR,PubMed,32,0.8370000123977661
CLGR,PubMed,32,0.8220000267028809
CLGR,PubMed,32,0.8350000381469727
CLGR,PubMed,32,0.8380000591278076
CLGR,PubMed,32,0.8260000348091125
CLGR,PubMed,128,0.8250000476837158
CLGR,PubMed,128,0.8400000333786011
CLGR,PubMed,128,0.8280000686645508
CLGR,PubMed,128,0.8380000591278076
CLGR,PubMed,128,0.8320000171661377
CLGR,PubMed,128,0.8220000267028809
CLGR,PubMed,128,0.8220000267028809
CLGR,PubMed,128,0.8300000429153442
CLGR,PubMed,128,0.8300000429153442
CLGR,PubMed,128,0.8280000686645508
CLGR,PubMed,128,0.8170000314712524
CLGR,PubMed,128,0.8390000462532043
CLGR,PubMed,128,0.8330000638961792
CLGR,PubMed,128,0.8270000219345093
CLGR,PubMed,128,0.8210000395774841
CLGR,PubMed,128,0.8240000605583191
CLGR,PubMed,128,0.8180000185966492
CLGR,PubMed,128,0.8270000219345093
CLGR,PubMed,128,0.8320000171661377
CLGR,PubMed,128,0.8350000381469727
CLGR,PubMed,512,0.8290000557899475
CLGR,PubMed,512,0.8250000476837158
CLGR,PubMed,512,0.8190000653266907
CLGR,PubMed,512,0.8380000591278076
CLGR,PubMed,512,0.8200000524520874
CLGR,PubMed,512,0.8330000638961792
CLGR,PubMed,512,0.8350000381469727
CLGR,PubMed,512,0.8250000476837158
CLGR,PubMed,512,0.8340000510215759
CLGR,PubMed,512,0.8180000185966492
CLGR,PubMed,512,0.8320000171661377
CLGR,PubMed,512,0.8220000267028809
CLGR,PubMed,512,0.8350000381469727
CLGR,PubMed,512,0.8340000510215759
CLGR,PubMed,512,0.8200000524520874
CLGR,PubMed,512,0.8270000219345093
CLGR,PubMed,512,0.8270000219345093
CLGR,PubMed,512,0.8460000157356262
CLGR,PubMed,512,0.831000030040741
CLGR,PubMed,512,0.8240000605583191
