model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9557512402534485
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9539392590522766
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.95513516664505
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9551714062690735
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9546640515327454
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9554250836372375
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9544466137886047
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9537580609321594
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9547727704048157
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9529245495796204
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9548452496528625
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9550626873970032
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9551714062690735
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9546640515327454
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9555338025093079
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9570196270942688
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9542291760444641
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9544828534126282
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9550989270210266
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9545190930366516
