model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
CLGR,CS,100,2,0.5,0.001,0.01,0.0001,256,0.2,0.4,0.9292922616004944
CLGR,CS,100,2,0.5,0.001,0.01,0.0001,256,0.2,0.4,0.931269645690918
CLGR,CS,100,2,0.5,0.001,0.01,0.0001,256,0.2,0.4,0.9308605194091797
CLGR,CS,100,2,0.5,0.001,0.01,0.0001,256,0.2,0.4,0.9284058809280396
CLGR,CS,100,2,0.5,0.001,0.01,0.0001,256,0.2,0.4,0.9339288473129272
CLGR,CS,100,2,0.5,0.001,0.01,0.0001,256,0.2,0.4,0.932428777217865
CLGR,CS,100,2,0.5,0.001,0.01,0.0001,256,0.2,0.4,0.9296332001686096
CLGR,CS,100,2,0.5,0.001,0.01,0.0001,256,0.2,0.4,0.9307923316955566
CLGR,CS,100,2,0.5,0.001,0.01,0.0001,256,0.2,0.4,0.9310650825500488
CLGR,CS,100,2,0.5,0.001,0.01,0.0001,256,0.2,0.4,0.9306559562683105
CLGR,CS,100,2,0.5,0.001,0.01,0.0001,256,0.2,0.4,0.9302468299865723
CLGR,CS,100,2,0.5,0.001,0.01,0.0001,256,0.2,0.4,0.9318150877952576
CLGR,CS,100,2,0.5,0.001,0.01,0.0001,256,0.2,0.4,0.9271103739738464
CLGR,CS,100,2,0.5,0.001,0.01,0.0001,256,0.2,0.4,0.9333151578903198
CLGR,CS,100,2,0.5,0.001,0.01,0.0001,256,0.2,0.4,0.9309968948364258
CLGR,CS,100,2,0.5,0.001,0.01,0.0001,256,0.2,0.4,0.9336560964584351
CLGR,CS,100,2,0.5,0.001,0.01,0.0001,256,0.2,0.4,0.9284058809280396
CLGR,CS,100,2,0.5,0.001,0.01,0.0001,256,0.2,0.4,0.9320196509361267
CLGR,CS,100,2,0.5,0.001,0.01,0.0001,256,0.2,0.4,0.9325651526451111
CLGR,CS,100,2,0.5,0.001,0.01,0.0001,256,0.2,0.4,0.9320196509361267
