model,dataset,split,epochs,layers,tau,lr1,lr2,wd1,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
CLGR,CiteSeer,PublicSplit,100,1,0.5,0.001,0.01,0.0,0.0001,512,0.4,0.5,0.7210000157356262
CLGR,CiteSeer,PublicSplit,100,1,0.5,0.001,0.01,0.0,0.0001,512,0.4,0.5,0.7220000624656677
CLGR,CiteSeer,PublicSplit,100,1,0.5,0.001,0.01,0.0,0.0001,512,0.4,0.5,0.7200000286102295
CLGR,CiteSeer,PublicSplit,100,1,0.5,0.001,0.01,0.0,0.0001,512,0.4,0.5,0.7300000190734863
CLGR,CiteSeer,PublicSplit,100,1,0.5,0.001,0.01,0.0,0.0001,512,0.4,0.5,0.7160000205039978
CLGR,CiteSeer,PublicSplit,100,1,0.5,0.001,0.01,0.0,0.0001,512,0.4,0.5,0.7210000157356262
CLGR,CiteSeer,PublicSplit,100,1,0.5,0.001,0.01,0.0,0.0001,512,0.4,0.5,0.7190000414848328
CLGR,CiteSeer,PublicSplit,100,1,0.5,0.001,0.01,0.0,0.0001,512,0.4,0.5,0.7240000367164612
CLGR,CiteSeer,PublicSplit,100,1,0.5,0.001,0.01,0.0,0.0001,512,0.4,0.5,0.7240000367164612
CLGR,CiteSeer,PublicSplit,100,1,0.5,0.001,0.01,0.0,0.0001,512,0.4,0.5,0.7280000448226929
CLGR,CiteSeer,PublicSplit,100,1,0.5,0.001,0.01,0.0,0.0001,512,0.4,0.5,0.7250000238418579
CLGR,CiteSeer,PublicSplit,100,1,0.5,0.001,0.01,0.0,0.0001,512,0.4,0.5,0.7220000624656677
CLGR,CiteSeer,PublicSplit,100,1,0.5,0.001,0.01,0.0,0.0001,512,0.4,0.5,0.7310000061988831
CLGR,CiteSeer,PublicSplit,100,1,0.5,0.001,0.01,0.0,0.0001,512,0.4,0.5,0.7430000305175781
CLGR,CiteSeer,PublicSplit,100,1,0.5,0.001,0.01,0.0,0.0001,512,0.4,0.5,0.734000027179718
CLGR,CiteSeer,PublicSplit,100,1,0.5,0.001,0.01,0.0,0.0001,512,0.4,0.5,0.7260000109672546
CLGR,CiteSeer,PublicSplit,100,1,0.5,0.001,0.01,0.0,0.0001,512,0.4,0.5,0.7330000400543213
CLGR,CiteSeer,PublicSplit,100,1,0.5,0.001,0.01,0.0,0.0001,512,0.4,0.5,0.7250000238418579
CLGR,CiteSeer,PublicSplit,100,1,0.5,0.001,0.01,0.0,0.0001,512,0.4,0.5,0.7200000286102295
CLGR,CiteSeer,PublicSplit,100,1,0.5,0.001,0.01,0.0,0.0001,512,0.4,0.5,0.7240000367164612
