model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
CLGR,Computers,100,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8992001414299011
CLGR,Computers,100,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8932012319564819
CLGR,Computers,100,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8906562328338623
CLGR,Computers,100,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8881112337112427
CLGR,Computers,100,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.895837128162384
CLGR,Computers,100,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8950191140174866
CLGR,Computers,100,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8987456560134888
CLGR,Computers,100,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8975640535354614
CLGR,Computers,100,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8936557173728943
CLGR,Computers,100,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8979276418685913
CLGR,Computers,100,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8867478370666504
CLGR,Computers,100,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8890202045440674
CLGR,Computers,100,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8970187306404114
CLGR,Computers,100,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8952008485794067
CLGR,Computers,100,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.899563729763031
CLGR,Computers,100,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8901109099388123
CLGR,Computers,100,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.897473156452179
CLGR,Computers,100,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8966551423072815
CLGR,Computers,100,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8907471299171448
CLGR,Computers,100,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8947464227676392
