model,dataset,split,epochs,layers,tau,lr1,lr2,wd1,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
CLGR,Cora,PublicSplit,200,2,0.5,0.0005,0.01,0.0,0.0001,256,0.3,0.4,0.831000030040741
CLGR,Cora,PublicSplit,200,2,0.5,0.0005,0.01,0.0,0.0001,256,0.3,0.4,0.8340000510215759
CLGR,Cora,PublicSplit,200,2,0.5,0.0005,0.01,0.0,0.0001,256,0.3,0.4,0.8390000462532043
CLGR,Cora,PublicSplit,200,2,0.5,0.0005,0.01,0.0,0.0001,256,0.3,0.4,0.8220000267028809
CLGR,Cora,PublicSplit,200,2,0.5,0.0005,0.01,0.0,0.0001,256,0.3,0.4,0.8510000109672546
CLGR,Cora,PublicSplit,200,2,0.5,0.0005,0.01,0.0,0.0001,256,0.3,0.4,0.8370000123977661
CLGR,Cora,PublicSplit,200,2,0.5,0.0005,0.01,0.0,0.0001,256,0.3,0.4,0.8440000414848328
CLGR,Cora,PublicSplit,200,2,0.5,0.0005,0.01,0.0,0.0001,256,0.3,0.4,0.8440000414848328
CLGR,Cora,PublicSplit,200,2,0.5,0.0005,0.01,0.0,0.0001,256,0.3,0.4,0.8510000109672546
CLGR,Cora,PublicSplit,200,2,0.5,0.0005,0.01,0.0,0.0001,256,0.3,0.4,0.8440000414848328
CLGR,Cora,PublicSplit,200,2,0.5,0.0005,0.01,0.0,0.0001,256,0.3,0.4,0.8370000123977661
CLGR,Cora,PublicSplit,200,2,0.5,0.0005,0.01,0.0,0.0001,256,0.3,0.4,0.8370000123977661
CLGR,Cora,PublicSplit,200,2,0.5,0.0005,0.01,0.0,0.0001,256,0.3,0.4,0.8340000510215759
CLGR,Cora,PublicSplit,200,2,0.5,0.0005,0.01,0.0,0.0001,256,0.3,0.4,0.8420000672340393
CLGR,Cora,PublicSplit,200,2,0.5,0.0005,0.01,0.0,0.0001,256,0.3,0.4,0.8400000333786011
CLGR,Cora,PublicSplit,200,2,0.5,0.0005,0.01,0.0,0.0001,256,0.3,0.4,0.8290000557899475
CLGR,Cora,PublicSplit,200,2,0.5,0.0005,0.01,0.0,0.0001,256,0.3,0.4,0.8230000138282776
CLGR,Cora,PublicSplit,200,2,0.5,0.0005,0.01,0.0,0.0001,256,0.3,0.4,0.8390000462532043
CLGR,Cora,PublicSplit,200,2,0.5,0.0005,0.01,0.0,0.0001,256,0.3,0.4,0.8420000672340393
CLGR,Cora,PublicSplit,200,2,0.5,0.0005,0.01,0.0,0.0001,256,0.3,0.4,0.8370000123977661
