model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
CLGR,Photo,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.3,0.9315359592437744
CLGR,Photo,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.3,0.925000011920929
CLGR,Photo,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.3,0.9222222566604614
CLGR,Photo,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.3,0.9312092065811157
CLGR,Photo,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.3,0.9341503381729126
CLGR,Photo,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.3,0.9223856329917908
CLGR,Photo,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.3,0.9241830110549927
CLGR,Photo,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.3,0.9248366355895996
CLGR,Photo,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.3,0.9282680153846741
CLGR,Photo,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.3,0.9281045794487
CLGR,Photo,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.3,0.9318627715110779
CLGR,Photo,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.3,0.9266340136528015
CLGR,Photo,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.3,0.930065393447876
CLGR,Photo,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.3,0.9303922057151794
CLGR,Photo,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.3,0.9151961207389832
CLGR,Photo,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.3,0.9290850162506104
CLGR,Photo,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.3,0.9277778267860413
CLGR,Photo,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.3,0.9326797723770142
CLGR,Photo,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.3,0.9248366355895996
CLGR,Photo,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.3,0.925000011920929
