model,dataset,split,epochs,layers,tau,lr1,lr2,wd1,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
CLGR,PubMed,PublicSplit,1500,2,0.5,0.001,0.01,0.0,0.0001,256,0.4,0.5,0.8260000348091125
CLGR,PubMed,PublicSplit,1500,2,0.5,0.001,0.01,0.0,0.0001,256,0.4,0.5,0.8330000638961792
CLGR,PubMed,PublicSplit,1500,2,0.5,0.001,0.01,0.0,0.0001,256,0.4,0.5,0.8210000395774841
CLGR,PubMed,PublicSplit,1500,2,0.5,0.001,0.01,0.0,0.0001,256,0.4,0.5,0.8160000443458557
CLGR,PubMed,PublicSplit,1500,2,0.5,0.001,0.01,0.0,0.0001,256,0.4,0.5,0.8300000429153442
CLGR,PubMed,PublicSplit,1500,2,0.5,0.001,0.01,0.0,0.0001,256,0.4,0.5,0.8250000476837158
CLGR,PubMed,PublicSplit,1500,2,0.5,0.001,0.01,0.0,0.0001,256,0.4,0.5,0.8460000157356262
CLGR,PubMed,PublicSplit,1500,2,0.5,0.001,0.01,0.0,0.0001,256,0.4,0.5,0.8370000123977661
CLGR,PubMed,PublicSplit,1500,2,0.5,0.001,0.01,0.0,0.0001,256,0.4,0.5,0.8300000429153442
CLGR,PubMed,PublicSplit,1500,2,0.5,0.001,0.01,0.0,0.0001,256,0.4,0.5,0.8230000138282776
CLGR,PubMed,PublicSplit,1500,2,0.5,0.001,0.01,0.0,0.0001,256,0.4,0.5,0.8380000591278076
CLGR,PubMed,PublicSplit,1500,2,0.5,0.001,0.01,0.0,0.0001,256,0.4,0.5,0.8360000252723694
CLGR,PubMed,PublicSplit,1500,2,0.5,0.001,0.01,0.0,0.0001,256,0.4,0.5,0.8260000348091125
CLGR,PubMed,PublicSplit,1500,2,0.5,0.001,0.01,0.0,0.0001,256,0.4,0.5,0.8230000138282776
CLGR,PubMed,PublicSplit,1500,2,0.5,0.001,0.01,0.0,0.0001,256,0.4,0.5,0.831000030040741
CLGR,PubMed,PublicSplit,1500,2,0.5,0.001,0.01,0.0,0.0001,256,0.4,0.5,0.8300000429153442
CLGR,PubMed,PublicSplit,1500,2,0.5,0.001,0.01,0.0,0.0001,256,0.4,0.5,0.8320000171661377
CLGR,PubMed,PublicSplit,1500,2,0.5,0.001,0.01,0.0,0.0001,256,0.4,0.5,0.8260000348091125
CLGR,PubMed,PublicSplit,1500,2,0.5,0.001,0.01,0.0,0.0001,256,0.4,0.5,0.8400000333786011
CLGR,PubMed,PublicSplit,1500,2,0.5,0.001,0.01,0.0,0.0001,256,0.4,0.5,0.8290000557899475
