model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.0001,512,0.4,0.0,"tensor(0.7200, device='cuda:0')"
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.0001,512,0.4,0.0,"tensor(0.7340, device='cuda:0')"
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.0001,512,0.4,0.0,"tensor(0.7220, device='cuda:0')"
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.0001,512,0.4,0.0,"tensor(0.7070, device='cuda:0')"
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.0001,512,0.4,0.0,"tensor(0.7290, device='cuda:0')"
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.0001,512,0.4,0.0,"tensor(0.7400, device='cuda:0')"
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.0001,512,0.4,0.0,"tensor(0.7200, device='cuda:0')"
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.0001,512,0.4,0.0,"tensor(0.7290, device='cuda:0')"
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.0001,512,0.4,0.0,"tensor(0.7250, device='cuda:0')"
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.0001,512,0.4,0.0,"tensor(0.7240, device='cuda:0')"
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.0001,512,0.4,0.0,"tensor(0.7270, device='cuda:0')"
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.0001,512,0.4,0.0,"tensor(0.7250, device='cuda:0')"
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.0001,512,0.4,0.0,"tensor(0.7310, device='cuda:0')"
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.0001,512,0.4,0.0,"tensor(0.7230, device='cuda:0')"
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.0001,512,0.4,0.0,"tensor(0.7280, device='cuda:0')"
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.0001,512,0.4,0.0,"tensor(0.7280, device='cuda:0')"
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.0001,512,0.4,0.0,"tensor(0.7150, device='cuda:0')"
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.0001,512,0.4,0.0,"tensor(0.7200, device='cuda:0')"
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.0001,512,0.4,0.0,"tensor(0.7110, device='cuda:0')"
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.0001,512,0.4,0.0,"tensor(0.7190, device='cuda:0')"
