model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.3,0.1,"tensor(0.3977, device='cuda:0')"
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.3,0.1,"tensor(0.4293, device='cuda:0')"
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.3,0.1,"tensor(0.4164, device='cuda:0')"
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.3,0.1,"tensor(0.4559, device='cuda:0')"
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.3,0.1,"tensor(0.4643, device='cuda:0')"
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.3,0.1,"tensor(0.4528, device='cuda:0')"
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.3,0.1,"tensor(0.4491, device='cuda:0')"
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.3,0.1,"tensor(0.4327, device='cuda:0')"
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.3,0.1,"tensor(0.3992, device='cuda:0')"
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.3,0.1,"tensor(0.4427, device='cuda:0')"
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.3,0.1,"tensor(0.4149, device='cuda:0')"
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.3,0.1,"tensor(0.4689, device='cuda:0')"
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.3,0.1,"tensor(0.4106, device='cuda:0')"
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.3,0.1,"tensor(0.4095, device='cuda:0')"
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.3,0.1,"tensor(0.3925, device='cuda:0')"
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.3,0.1,"tensor(0.4726, device='cuda:0')"
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.3,0.1,"tensor(0.4197, device='cuda:0')"
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.3,0.1,"tensor(0.4104, device='cuda:0')"
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.3,0.1,"tensor(0.4006, device='cuda:0')"
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.3,0.1,"tensor(0.4567, device='cuda:0')"
