model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
SemiGCon,Cora,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.9670000672340393
SemiGCon,Cora,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.9660000205039978
SemiGCon,Cora,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.9660000205039978
SemiGCon,Cora,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.971000075340271
SemiGCon,Cora,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.9640000462532043
SemiGCon,Cora,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.9640000462532043
SemiGCon,Cora,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.9660000205039978
SemiGCon,Cora,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.968000054359436
SemiGCon,Cora,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.968000054359436
SemiGCon,Cora,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.9650000333786011
SemiGCon,Cora,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.9660000205039978
SemiGCon,Cora,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.9700000286102295
SemiGCon,Cora,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.9650000333786011
SemiGCon,Cora,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.9670000672340393
SemiGCon,Cora,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.9640000462532043
SemiGCon,Cora,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.9660000205039978
SemiGCon,Cora,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.968000054359436
SemiGCon,Cora,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.9650000333786011
SemiGCon,Cora,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.9670000672340393
SemiGCon,Cora,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.9660000205039978
