model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
SelfGCon,PubMed,50,2,0.5,0.001,0.005,0.01,512,0.0,0.4,"tensor(0.7920, device='cuda:0')"
SelfGCon,PubMed,50,2,0.5,0.001,0.005,0.01,512,0.0,0.4,"tensor(0.8060, device='cuda:0')"
SelfGCon,PubMed,50,2,0.5,0.001,0.005,0.01,512,0.0,0.4,"tensor(0.7880, device='cuda:0')"
SelfGCon,PubMed,50,2,0.5,0.001,0.005,0.01,512,0.0,0.4,"tensor(0.8060, device='cuda:0')"
SelfGCon,PubMed,50,2,0.5,0.001,0.005,0.01,512,0.0,0.4,"tensor(0.8030, device='cuda:0')"
SelfGCon,PubMed,50,2,0.5,0.001,0.005,0.01,512,0.0,0.4,"tensor(0.7970, device='cuda:0')"
SelfGCon,PubMed,50,2,0.5,0.001,0.005,0.01,512,0.0,0.4,"tensor(0.7920, device='cuda:0')"
SelfGCon,PubMed,50,2,0.5,0.001,0.005,0.01,512,0.0,0.4,"tensor(0.7910, device='cuda:0')"
SelfGCon,PubMed,50,2,0.5,0.001,0.005,0.01,512,0.0,0.4,"tensor(0.7930, device='cuda:0')"
SelfGCon,PubMed,50,2,0.5,0.001,0.005,0.01,512,0.0,0.4,"tensor(0.8100, device='cuda:0')"
SelfGCon,PubMed,50,2,0.5,0.001,0.005,0.01,512,0.0,0.4,"tensor(0.7960, device='cuda:0')"
SelfGCon,PubMed,50,2,0.5,0.001,0.005,0.01,512,0.0,0.4,"tensor(0.7930, device='cuda:0')"
SelfGCon,PubMed,50,2,0.5,0.001,0.005,0.01,512,0.0,0.4,"tensor(0.8010, device='cuda:0')"
SelfGCon,PubMed,50,2,0.5,0.001,0.005,0.01,512,0.0,0.4,"tensor(0.7950, device='cuda:0')"
SelfGCon,PubMed,50,2,0.5,0.001,0.005,0.01,512,0.0,0.4,"tensor(0.7960, device='cuda:0')"
SelfGCon,PubMed,50,2,0.5,0.001,0.005,0.01,512,0.0,0.4,"tensor(0.8030, device='cuda:0')"
SelfGCon,PubMed,50,2,0.5,0.001,0.005,0.01,512,0.0,0.4,"tensor(0.7950, device='cuda:0')"
SelfGCon,PubMed,50,2,0.5,0.001,0.005,0.01,512,0.0,0.4,"tensor(0.8000, device='cuda:0')"
SelfGCon,PubMed,50,2,0.5,0.001,0.005,0.01,512,0.0,0.4,"tensor(0.7930, device='cuda:0')"
SelfGCon,PubMed,50,2,0.5,0.001,0.005,0.01,512,0.0,0.4,"tensor(0.7970, device='cuda:0')"
