model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
SelfGCon,CS,20,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.9269739985466003
SelfGCon,CS,20,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.9291558861732483
SelfGCon,CS,20,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.9234965443611145
SelfGCon,CS,20,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.9222692251205444
SelfGCon,CS,20,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.9258829951286316
SelfGCon,CS,20,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.9312014579772949
SelfGCon,CS,20,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.9272467494010925
SelfGCon,CS,20,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.925405740737915
SelfGCon,CS,20,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.9288831353187561
SelfGCon,CS,20,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.9262921214103699
SelfGCon,CS,20,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.9258148670196533
SelfGCon,CS,20,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.9285422563552856
SelfGCon,CS,20,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.924178421497345
SelfGCon,CS,20,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.9290195107460022
SelfGCon,CS,20,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.9284740686416626
SelfGCon,CS,20,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.9251329898834229
SelfGCon,CS,20,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.9294286370277405
SelfGCon,CS,20,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.9260875582695007
SelfGCon,CS,20,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.9277240037918091
SelfGCon,CS,20,2,0.5,0.001,0.005,0.0001,512,0.5,0.1,0.9261557459831238
