model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7280000448226929
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7300000190734863
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7420000433921814
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7260000109672546
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7250000238418579
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7220000624656677
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7290000319480896
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7320000529289246
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7140000462532043
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7190000414848328
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7190000414848328
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7320000529289246
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7220000624656677
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7250000238418579
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7330000400543213
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.737000048160553
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7210000157356262
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7310000061988831
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7380000352859497
SelfGCon,CiteSeer,50,1,0.5,0.001,0.01,0.01,256,0.5,0.2,0.7320000529289246
