model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8935648202896118
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8951099514961243
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8918378353118896
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8933830261230469
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8904744386672974
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8948373198509216
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8881112337112427
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.88874751329422
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.88874751329422
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8914742469787598
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8962007164955139
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8915651440620422
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8828395009040833
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8931103348731995
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8952917456626892
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8847482204437256
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8892019391059875
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8935648202896118
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8858389258384705
SelfGCon,Computers,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.0,0.8971096277236938
