model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.2,0.8390000462532043
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.2,0.8390000462532043
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.2,0.8540000319480896
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.2,0.8390000462532043
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.2,0.8490000367164612
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.2,0.8340000510215759
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.2,0.8440000414848328
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.2,0.8460000157356262
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.2,0.8450000286102295
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.2,0.8380000591278076
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.2,0.843000054359436
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.2,0.8370000123977661
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.2,0.843000054359436
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.2,0.8410000205039978
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.2,0.8380000591278076
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.2,0.8530000448226929
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.2,0.8440000414848328
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.2,0.8420000672340393
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.2,0.843000054359436
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.5,0.2,0.8400000333786011
