model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
SelfGCon,Photo,20,2,0.5,0.001,0.005,0.0001,512,0.3,0.2,0.9251634478569031
SelfGCon,Photo,20,2,0.5,0.001,0.005,0.0001,512,0.3,0.2,0.9236928224563599
SelfGCon,Photo,20,2,0.5,0.001,0.005,0.0001,512,0.3,0.2,0.9295752048492432
SelfGCon,Photo,20,2,0.5,0.001,0.005,0.0001,512,0.3,0.2,0.9254902005195618
SelfGCon,Photo,20,2,0.5,0.001,0.005,0.0001,512,0.3,0.2,0.9248366355895996
SelfGCon,Photo,20,2,0.5,0.001,0.005,0.0001,512,0.3,0.2,0.9302287697792053
SelfGCon,Photo,20,2,0.5,0.001,0.005,0.0001,512,0.3,0.2,0.9287582039833069
SelfGCon,Photo,20,2,0.5,0.001,0.005,0.0001,512,0.3,0.2,0.9292483925819397
SelfGCon,Photo,20,2,0.5,0.001,0.005,0.0001,512,0.3,0.2,0.9220588803291321
SelfGCon,Photo,20,2,0.5,0.001,0.005,0.0001,512,0.3,0.2,0.9334967732429504
SelfGCon,Photo,20,2,0.5,0.001,0.005,0.0001,512,0.3,0.2,0.9308823943138123
SelfGCon,Photo,20,2,0.5,0.001,0.005,0.0001,512,0.3,0.2,0.9241830110549927
SelfGCon,Photo,20,2,0.5,0.001,0.005,0.0001,512,0.3,0.2,0.9287582039833069
SelfGCon,Photo,20,2,0.5,0.001,0.005,0.0001,512,0.3,0.2,0.9264706373214722
SelfGCon,Photo,20,2,0.5,0.001,0.005,0.0001,512,0.3,0.2,0.9307189583778381
SelfGCon,Photo,20,2,0.5,0.001,0.005,0.0001,512,0.3,0.2,0.9330065846443176
SelfGCon,Photo,20,2,0.5,0.001,0.005,0.0001,512,0.3,0.2,0.9328431487083435
SelfGCon,Photo,20,2,0.5,0.001,0.005,0.0001,512,0.3,0.2,0.9318627715110779
SelfGCon,Photo,20,2,0.5,0.001,0.005,0.0001,512,0.3,0.2,0.9282680153846741
SelfGCon,Photo,20,2,0.5,0.001,0.005,0.0001,512,0.3,0.2,0.9272876381874084
