model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9528883099555969
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9540117383003235
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9542654156684875
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.954555332660675
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9543741345405579
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9563310742378235
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9554250836372375
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9563673138618469
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9550264477729797
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.954881489276886
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9545190930366516
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.95513516664505
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9547002911567688
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9571645855903625
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9569109082221985
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9558599591255188
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9546278119087219
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9538305401802063
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9553888440132141
SelfGCon,Physics,50,2,0.5,0.001,0.005,0.0001,512,0.4,0.2,0.9541929364204407
