model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
SelfGCon,PubMed,50,1,0.5,0.001,0.005,0.0001,256,0.2,0.3,0.8260000348091125
SelfGCon,PubMed,50,1,0.5,0.001,0.005,0.0001,256,0.2,0.3,0.8330000638961792
SelfGCon,PubMed,50,1,0.5,0.001,0.005,0.0001,256,0.2,0.3,0.8350000381469727
SelfGCon,PubMed,50,1,0.5,0.001,0.005,0.0001,256,0.2,0.3,0.8350000381469727
SelfGCon,PubMed,50,1,0.5,0.001,0.005,0.0001,256,0.2,0.3,0.8290000557899475
SelfGCon,PubMed,50,1,0.5,0.001,0.005,0.0001,256,0.2,0.3,0.8330000638961792
SelfGCon,PubMed,50,1,0.5,0.001,0.005,0.0001,256,0.2,0.3,0.8350000381469727
SelfGCon,PubMed,50,1,0.5,0.001,0.005,0.0001,256,0.2,0.3,0.8260000348091125
SelfGCon,PubMed,50,1,0.5,0.001,0.005,0.0001,256,0.2,0.3,0.8360000252723694
SelfGCon,PubMed,50,1,0.5,0.001,0.005,0.0001,256,0.2,0.3,0.8320000171661377
SelfGCon,PubMed,50,1,0.5,0.001,0.005,0.0001,256,0.2,0.3,0.8350000381469727
SelfGCon,PubMed,50,1,0.5,0.001,0.005,0.0001,256,0.2,0.3,0.8330000638961792
SelfGCon,PubMed,50,1,0.5,0.001,0.005,0.0001,256,0.2,0.3,0.8350000381469727
SelfGCon,PubMed,50,1,0.5,0.001,0.005,0.0001,256,0.2,0.3,0.8290000557899475
SelfGCon,PubMed,50,1,0.5,0.001,0.005,0.0001,256,0.2,0.3,0.8290000557899475
SelfGCon,PubMed,50,1,0.5,0.001,0.005,0.0001,256,0.2,0.3,0.8300000429153442
SelfGCon,PubMed,50,1,0.5,0.001,0.005,0.0001,256,0.2,0.3,0.831000030040741
SelfGCon,PubMed,50,1,0.5,0.001,0.005,0.0001,256,0.2,0.3,0.831000030040741
SelfGCon,PubMed,50,1,0.5,0.001,0.005,0.0001,256,0.2,0.3,0.8330000638961792
SelfGCon,PubMed,50,1,0.5,0.001,0.005,0.0001,256,0.2,0.3,0.8350000381469727
