model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.4790000319480896
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.5450000166893005
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.5649999976158142
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.5680000185966492
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.5580000281333923
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.5660000443458557
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.5600000023841858
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.6290000081062317
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.5660000443458557
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.5700000524520874
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.5570000410079956
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.5520000457763672
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.5540000200271606
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.4880000352859497
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.562000036239624
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.562000036239624
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.5509999990463257
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.5660000443458557
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.5570000410079956
SemiGCon,PubMed,50,2,0.5,0.001,0.01,0.01,512,0.0,0.0,0.49400001764297485
