model,dataset,epochs,layers,tau,lr1,lr2,wd1,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
SupCLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,512,0.5,0.0,0.9366013407707214
SupCLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,512,0.5,0.0,0.9230392575263977
SupCLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,512,0.5,0.0,0.9313725829124451
SupCLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,512,0.5,0.0,0.9272876381874084
SupCLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,512,0.5,0.0,0.9254902005195618
SupCLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,512,0.5,0.0,0.9312092065811157
SupCLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,512,0.5,0.0,0.9338235855102539
SupCLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,512,0.5,0.0,0.9285948276519775
SupCLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,512,0.5,0.0,0.9271242022514343
SupCLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,512,0.5,0.0,0.9307189583778381
SupCLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,512,0.5,0.0,0.9271242022514343
SupCLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,512,0.5,0.0,0.9348039627075195
SupCLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,512,0.5,0.0,0.9310457706451416
SupCLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,512,0.5,0.0,0.9310457706451416
SupCLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,512,0.5,0.0,0.9357843399047852
SupCLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,512,0.5,0.0,0.9398692846298218
SupCLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,512,0.5,0.0,0.9346405267715454
SupCLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,512,0.5,0.0,0.9344771504402161
SupCLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,512,0.5,0.0,0.9356209635734558
SupCLGR,Photo,100,2,0.5,0.001,0.01,0.0,0.0001,512,0.5,0.0,0.9276143908500671
