model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
SelfGCon,CS,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.0,False,0.4445717453956604
SelfGCon,CS,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.0,False,0.3201309397816658
SelfGCon,CS,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.8302236914634704
SelfGCon,CS,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.572122210264206
SelfGCon,CS,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.0,False,0.3798690751194954
SelfGCon,CS,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.0,False,0.32967813313007355
SelfGCon,CS,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.0,False,0.8176759421825409
SelfGCon,CS,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.0,False,0.581396633386612
SelfGCon,CS,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.1,False,0.9030005693435669
SelfGCon,CS,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.1,False,0.9028914511203766
SelfGCon,CS,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.9244953870773316
SelfGCon,CS,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.9281505942344666
SelfGCon,CS,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.1,False,0.8978178024291992
SelfGCon,CS,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.1,False,0.9010365664958954
SelfGCon,CS,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.1,False,0.927550482749939
SelfGCon,CS,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.1,False,0.9267321467399597
SelfGCon,CS,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.2,False,0.9124386370182037
SelfGCon,CS,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.2,False,0.9196945071220398
SelfGCon,CS,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.9271140396595001
SelfGCon,CS,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.9265139400959015
SelfGCon,CS,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.2,False,0.9068194448947906
SelfGCon,CS,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.2,False,0.9184942901134491
SelfGCon,CS,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.2,False,0.9271140396595001
SelfGCon,CS,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.2,False,0.926241147518158
SelfGCon,CS,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.3,False,0.912274980545044
SelfGCon,CS,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.3,False,0.920567387342453
SelfGCon,CS,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,False,0.925204598903656
SelfGCon,CS,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,False,0.9286961495876312
SelfGCon,CS,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.3,False,0.9097654283046722
SelfGCon,CS,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.3,False,0.9187670707702636
SelfGCon,CS,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.3,False,0.9270049273967743
SelfGCon,CS,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.3,False,0.9280960381031036
SelfGCon,CS,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.4,False,0.9107474267482758
SelfGCon,CS,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.4,False,0.9182760715484619
SelfGCon,CS,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,False,0.9245499312877655
SelfGCon,CS,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,False,0.9226950585842133
SelfGCon,CS,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.4,False,0.913911634683609
SelfGCon,CS,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.4,False,0.9230223834514618
SelfGCon,CS,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.4,False,0.9230769336223602
SelfGCon,CS,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.4,False,0.9243862688541412
SelfGCon,CS,20,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.5,False,0.9051827847957611
SelfGCon,CS,50,2,0.5,0.001,0.0,0.01,0.01,256,0.0,0.5,False,0.9176214039325714
SelfGCon,CS,20,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.5,False,0.9235679328441619
SelfGCon,CS,50,2,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.5,False,0.928532475233078
SelfGCon,CS,20,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.5,False,0.9010365664958954
SelfGCon,CS,50,2,0.5,0.001,0.0,0.005,0.01,256,0.0,0.5,False,0.9189852833747864
SelfGCon,CS,20,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.5,False,0.9249318242073059
SelfGCon,CS,50,2,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.5,False,0.9246590375900269
