model,dataset,edge_drop_rate,feat_mask_rate,accuracy
CLGR,ogbn-arxiv,0.0,0.0,0.6361958384513855
CLGR,ogbn-arxiv,0.0,0.1,0.6527400016784668
CLGR,ogbn-arxiv,0.0,0.2,0.6531426906585693
CLGR,ogbn-arxiv,0.0,0.3,0.6431758999824524
CLGR,ogbn-arxiv,0.0,0.4,0.6287459135055542
CLGR,ogbn-arxiv,0.0,0.5,0.6191818118095398
CLGR,ogbn-arxiv,0.0,0.6,0.5853551626205444
CLGR,ogbn-arxiv,0.1,0.0,0.6359273791313171
CLGR,ogbn-arxiv,0.1,0.1,0.6566327214241028
CLGR,ogbn-arxiv,0.1,0.2,0.6519346237182617
CLGR,ogbn-arxiv,0.1,0.3,0.646565318107605
CLGR,ogbn-arxiv,0.1,0.4,0.6349877119064331
CLGR,ogbn-arxiv,0.1,0.5,0.6349541544914246
CLGR,ogbn-arxiv,0.1,0.6,0.5844491124153137
CLGR,ogbn-arxiv,0.2,0.0,0.6399878859519958
CLGR,ogbn-arxiv,0.2,0.1,0.6570354700088501
CLGR,ogbn-arxiv,0.2,0.2,0.6537467241287231
CLGR,ogbn-arxiv,0.2,0.3,0.6438471078872681
CLGR,ogbn-arxiv,0.2,0.4,0.6468337774276733
CLGR,ogbn-arxiv,0.2,0.5,0.6392160654067993
CLGR,ogbn-arxiv,0.2,0.6,0.6153897643089294
CLGR,ogbn-arxiv,0.3,0.0,0.6449209451675415
CLGR,ogbn-arxiv,0.3,0.1,0.6530420184135437
CLGR,ogbn-arxiv,0.3,0.2,0.6502231359481812
CLGR,ogbn-arxiv,0.3,0.3,0.6509613990783691
CLGR,ogbn-arxiv,0.3,0.4,0.6497868895530701
CLGR,ogbn-arxiv,0.3,0.5,0.6207926273345947
CLGR,ogbn-arxiv,0.3,0.6,0.6096848845481873
CLGR,ogbn-arxiv,0.4,0.0,0.63770592212677
CLGR,ogbn-arxiv,0.4,0.1,0.6535118222236633
CLGR,ogbn-arxiv,0.4,0.2,0.6511291861534119
CLGR,ogbn-arxiv,0.4,0.3,0.6482767462730408
CLGR,ogbn-arxiv,0.4,0.4,0.6450887322425842
CLGR,ogbn-arxiv,0.4,0.5,0.6426054239273071
CLGR,ogbn-arxiv,0.4,0.6,0.6323701739311218
CLGR,ogbn-arxiv,0.5,0.0,0.649350643157959
CLGR,ogbn-arxiv,0.5,0.1,0.647672712802887
CLGR,ogbn-arxiv,0.5,0.2,0.6510285139083862
CLGR,ogbn-arxiv,0.5,0.3,0.6441826820373535
CLGR,ogbn-arxiv,0.5,0.4,0.6457598805427551
CLGR,ogbn-arxiv,0.5,0.5,0.6424376368522644
CLGR,ogbn-arxiv,0.5,0.6,0.6339809894561768
CLGR,ogbn-arxiv,0.6,0.0,0.6558609008789062
CLGR,ogbn-arxiv,0.6,0.1,0.6509949564933777
CLGR,ogbn-arxiv,0.6,0.2,0.6543172597885132
CLGR,ogbn-arxiv,0.6,0.3,0.6481425166130066
CLGR,ogbn-arxiv,0.6,0.4,0.6541494131088257
CLGR,ogbn-arxiv,0.6,0.5,0.6431758999824524
CLGR,ogbn-arxiv,0.6,0.6,0.6367998719215393
