model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
SelfGCon,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.1,0.4,tensor(0.7320)
SelfGCon,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.1,0.4,tensor(0.7270)
SelfGCon,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.1,0.4,tensor(0.7380)
SelfGCon,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.1,0.4,tensor(0.7280)
SelfGCon,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.1,0.4,tensor(0.7310)
SelfGCon,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.1,0.4,tensor(0.7190)
SelfGCon,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.1,0.4,tensor(0.7290)
SelfGCon,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.1,0.4,tensor(0.7290)
SelfGCon,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.1,0.4,tensor(0.7330)
SelfGCon,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.1,0.4,tensor(0.7320)
SelfGCon,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.1,0.4,tensor(0.7290)
SelfGCon,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.1,0.4,tensor(0.7340)
SelfGCon,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.1,0.4,tensor(0.7370)
SelfGCon,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.1,0.4,tensor(0.7440)
SelfGCon,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.1,0.4,tensor(0.7370)
SelfGCon,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.1,0.4,tensor(0.7290)
SelfGCon,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.1,0.4,tensor(0.7250)
SelfGCon,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.1,0.4,tensor(0.7180)
SelfGCon,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.1,0.4,tensor(0.7370)
SelfGCon,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.1,0.4,tensor(0.7370)
