model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.2,0.4,tensor(0.8350)
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.2,0.4,tensor(0.8400)
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.2,0.4,tensor(0.8320)
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.2,0.4,tensor(0.8430)
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.2,0.4,tensor(0.8440)
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.2,0.4,tensor(0.8400)
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.2,0.4,tensor(0.8580)
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.2,0.4,tensor(0.8460)
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.2,0.4,tensor(0.8510)
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.2,0.4,tensor(0.8490)
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.2,0.4,tensor(0.8360)
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.2,0.4,tensor(0.8330)
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.2,0.4,tensor(0.8440)
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.2,0.4,tensor(0.8310)
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.2,0.4,tensor(0.8390)
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.2,0.4,tensor(0.8390)
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.2,0.4,tensor(0.8370)
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.2,0.4,tensor(0.8470)
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.2,0.4,tensor(0.8370)
SelfGCon,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.2,0.4,tensor(0.8430)
