model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,accuracy
SelfGCon,PubMed,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.5,tensor(0.8140)
SelfGCon,PubMed,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.5,tensor(0.8210)
SelfGCon,PubMed,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.5,tensor(0.8200)
SelfGCon,PubMed,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.5,tensor(0.8120)
SelfGCon,PubMed,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.5,tensor(0.8130)
SelfGCon,PubMed,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.5,tensor(0.8200)
SelfGCon,PubMed,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.5,tensor(0.8170)
SelfGCon,PubMed,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.5,tensor(0.8120)
SelfGCon,PubMed,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.5,tensor(0.8200)
SelfGCon,PubMed,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.5,tensor(0.8140)
SelfGCon,PubMed,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.5,tensor(0.8240)
SelfGCon,PubMed,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.5,tensor(0.8110)
SelfGCon,PubMed,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.5,tensor(0.8130)
SelfGCon,PubMed,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.5,tensor(0.8140)
SelfGCon,PubMed,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.5,tensor(0.8190)
SelfGCon,PubMed,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.5,tensor(0.8170)
SelfGCon,PubMed,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.5,tensor(0.8210)
SelfGCon,PubMed,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.5,tensor(0.8160)
SelfGCon,PubMed,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.5,tensor(0.8100)
SelfGCon,PubMed,100,2,0.5,0.001,0.01,0.0001,512,0.3,0.5,tensor(0.8230)
