model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.0,False,0.8890000462532044
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.0,False,0.9422000527381897
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.8980000495910645
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.940600049495697
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.0,False,0.8898000419139862
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.0,False,0.9416000425815583
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.0,False,0.8958000421524048
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.0,False,0.9424000382423401
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.1,False,0.8834000527858734
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.1,False,0.9332000315189362
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.8930000364780426
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.9346000373363494
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.1,False,0.8786000430583953
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.1,False,0.9346000373363494
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.1,False,0.89000004529953
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.1,False,0.9358000338077546
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.2,False,0.8750000298023224
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.2,False,0.9302000522613525
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.8856000483036042
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.9314000368118286
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.2,False,0.8772000372409821
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.2,False,0.929000049829483
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.2,False,0.886400043964386
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.2,False,0.9310000360012054
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.3,False,0.8742000341415406
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.3,False,0.926000040769577
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,False,0.8766000449657441
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,False,0.9268000423908234
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.3,False,0.870600038766861
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.3,False,0.9254000425338745
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.3,False,0.8798000335693359
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.3,False,0.9264000356197357
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.4,False,0.8648000359535217
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.4,False,0.9206000447273255
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,False,0.8698000431060791
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,False,0.9208000361919403
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.4,False,0.8658000290393829
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.4,False,0.9204000353813171
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.4,False,0.8700000405311584
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.4,False,0.9212000370025635
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.5,False,0.8618000328540802
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.5,False,0.9134000480175019
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.5,False,0.8640000402927399
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.5,False,0.9158000409603119
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.5,False,0.8616000533103942
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.5,False,0.9126000463962555
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.5,False,0.8638000369071961
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.5,False,0.9164000511169433
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.01,256,0.1,0.0,False,0.8860000371932983
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.01,256,0.1,0.0,False,0.936400032043457
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.0,False,0.8956000506877899
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.0,False,0.9376000344753266
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.01,256,0.1,0.0,False,0.8874000430107116
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.01,256,0.1,0.0,False,0.9378000378608704
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.0,False,0.8938000500202179
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.0,False,0.938200044631958
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.01,256,0.1,0.1,False,0.8810000419616699
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.01,256,0.1,0.1,False,0.9316000282764435
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.1,False,0.8874000430107116
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.1,False,0.93340003490448
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.01,256,0.1,0.1,False,0.8774000346660614
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.01,256,0.1,0.1,False,0.9310000360012054
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.1,False,0.8904000461101532
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.1,False,0.9326000392436982
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.01,256,0.1,0.2,False,0.8734000325202942
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.01,256,0.1,0.2,False,0.93100004196167
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.2,False,0.8856000423431396
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.2,False,0.9298000395298004
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.01,256,0.1,0.2,False,0.8764000356197357
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.01,256,0.1,0.2,False,0.9288000464439392
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.2,False,0.8844000458717346
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.2,False,0.9300000429153442
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.01,256,0.1,0.3,False,0.8690000414848328
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.01,256,0.1,0.3,False,0.9246000409126282
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.3,False,0.8778000354766846
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.3,False,0.9234000384807587
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.01,256,0.1,0.3,False,0.8720000386238098
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.01,256,0.1,0.3,False,0.9262000441551208
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.3,False,0.8764000296592712
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.3,False,0.9246000409126282
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.01,256,0.1,0.4,False,0.8652000427246094
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.01,256,0.1,0.4,False,0.9180000424385071
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.4,False,0.8714000463485718
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.4,False,0.9210000395774841
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.01,256,0.1,0.4,False,0.8690000355243683
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.01,256,0.1,0.4,False,0.9192000389099121
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.4,False,0.8700000405311584
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.4,False,0.9204000353813171
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.01,256,0.1,0.5,False,0.8596000373363495
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.01,256,0.1,0.5,False,0.9122000515460968
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.5,False,0.8616000413894653
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.5,False,0.9124000430107116
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.01,256,0.1,0.5,False,0.8602000415325165
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.01,256,0.1,0.5,False,0.9108000457286834
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.5,False,0.863200044631958
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.1,0.5,False,0.9118000388145446
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.01,256,0.2,0.0,False,0.8844000339508057
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.01,256,0.2,0.0,False,0.934000027179718
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.0,False,0.8908000409603118
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.0,False,0.932800042629242
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.01,256,0.2,0.0,False,0.883400046825409
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.01,256,0.2,0.0,False,0.9338000237941741
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.2,0.0,False,0.8922000527381897
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.2,0.0,False,0.9342000305652618
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.01,256,0.2,0.1,False,0.8782000362873077
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.01,256,0.2,0.1,False,0.9306000530719757
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.1,False,0.8856000483036042
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.1,False,0.9310000479221344
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.01,256,0.2,0.1,False,0.8796000480651855
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.01,256,0.2,0.1,False,0.9302000522613525
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.2,0.1,False,0.8840000450611114
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.2,0.1,False,0.9310000479221344
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.01,256,0.2,0.2,False,0.8746000409126282
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.01,256,0.2,0.2,False,0.9286000430583954
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.2,False,0.8810000360012055
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.2,False,0.9276000440120697
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.01,256,0.2,0.2,False,0.8738000392913818
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.01,256,0.2,0.2,False,0.9288000464439392
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.2,0.2,False,0.8804000437259674
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.2,0.2,False,0.9280000507831574
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.01,256,0.2,0.3,False,0.8648000299930573
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.01,256,0.2,0.3,False,0.9236000359058381
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.3,False,0.8786000370979309
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.3,False,0.9240000486373902
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.01,256,0.2,0.3,False,0.8670000374317169
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.01,256,0.2,0.3,False,0.9210000395774841
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.2,0.3,False,0.8736000418663025
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.2,0.3,False,0.9244000494480134
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.01,256,0.2,0.4,False,0.864400041103363
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.01,256,0.2,0.4,False,0.9176000416278839
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.4,False,0.8672000408172608
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.4,False,0.9186000466346741
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.01,256,0.2,0.4,False,0.86260005235672
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.01,256,0.2,0.4,False,0.9160000383853912
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.2,0.4,False,0.8682000398635864
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.2,0.4,False,0.9170000433921814
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.01,256,0.2,0.5,False,0.8556000351905823
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.01,256,0.2,0.5,False,0.9118000447750092
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.5,False,0.8592000424861908
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.2,0.5,False,0.9116000413894654
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.01,256,0.2,0.5,False,0.8562000334262848
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.01,256,0.2,0.5,False,0.9104000449180603
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.2,0.5,False,0.8604000508785248
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.2,0.5,False,0.9118000388145446
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.01,256,0.3,0.0,False,0.882200050354004
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.01,256,0.3,0.0,False,0.93100004196167
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.0,False,0.8910000443458557
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.0,False,0.9302000522613525
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.01,256,0.3,0.0,False,0.8812000393867493
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.01,256,0.3,0.0,False,0.9314000487327576
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.3,0.0,False,0.8898000478744507
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.3,0.0,False,0.9320000410079956
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.01,256,0.3,0.1,False,0.8784000456333161
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.01,256,0.3,0.1,False,0.9304000496864319
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.1,False,0.8854000329971313
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.1,False,0.9284000515937805
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.01,256,0.3,0.1,False,0.8768000423908233
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.01,256,0.3,0.1,False,0.92960005402565
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.3,0.1,False,0.8838000476360321
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.3,0.1,False,0.9286000430583954
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.01,256,0.3,0.2,False,0.8758000314235688
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.01,256,0.3,0.2,False,0.9256000339984893
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.2,False,0.8802000522613526
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.2,False,0.9256000578403473
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.01,256,0.3,0.2,False,0.8710000336170196
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.01,256,0.3,0.2,False,0.9256000399589539
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.3,0.2,False,0.8778000354766846
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.3,0.2,False,0.9260000467300415
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.01,256,0.3,0.3,False,0.868200033903122
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.01,256,0.3,0.3,False,0.9198000431060791
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.3,False,0.8740000307559967
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.3,False,0.9216000437736511
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.01,256,0.3,0.3,False,0.8694000363349914
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.01,256,0.3,0.3,False,0.921200031042099
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.3,0.3,False,0.8758000254631042
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.3,0.3,False,0.9224000394344329
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.01,256,0.3,0.4,False,0.861400032043457
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.01,256,0.3,0.4,False,0.9158000588417053
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.4,False,0.8696000397205352
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.4,False,0.9180000424385071
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.01,256,0.3,0.4,False,0.859600031375885
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.01,256,0.3,0.4,False,0.9142000436782837
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.3,0.4,False,0.8686000406742096
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.3,0.4,False,0.9170000493526459
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.01,256,0.3,0.5,False,0.8600000441074371
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.01,256,0.3,0.5,False,0.9072000443935394
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.5,False,0.8592000424861908
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.3,0.5,False,0.907800042629242
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.01,256,0.3,0.5,False,0.8556000351905823
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.01,256,0.3,0.5,False,0.9096000373363495
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.3,0.5,False,0.8590000391006469
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.3,0.5,False,0.9096000373363495
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.01,256,0.4,0.0,False,0.8796000421047211
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.01,256,0.4,0.0,False,0.9300000369548798
SemiGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.4,0.0,False,0.8856000423431396
SemiGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.4,0.0,False,0.9298000514507294
