model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
SemiGCon,PubMed,20,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.0,False,0.8358000457286835
SemiGCon,PubMed,50,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.0,False,0.8762000381946564
SemiGCon,PubMed,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.8354000449180603
SemiGCon,PubMed,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.8748000383377075
SemiGCon,PubMed,20,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.0,False,0.8300000488758087
SemiGCon,PubMed,50,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.0,False,0.874800032377243
SemiGCon,PubMed,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.0,False,0.8366000354290009
SemiGCon,PubMed,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.0,False,0.8764000296592712
SemiGCon,PubMed,20,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.1,False,0.8292000353336334
SemiGCon,PubMed,50,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.1,False,0.8756000399589539
SemiGCon,PubMed,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.8298000454902649
SemiGCon,PubMed,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.871200042963028
SemiGCon,PubMed,20,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.1,False,0.8280000448226928
SemiGCon,PubMed,50,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.1,False,0.8690000474452972
SemiGCon,PubMed,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.1,False,0.8320000350475312
SemiGCon,PubMed,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.1,False,0.8698000371456146
SemiGCon,PubMed,20,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.2,False,0.8234000444412232
SemiGCon,PubMed,50,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.2,False,0.8622000336647033
SemiGCon,PubMed,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.8270000398159028
SemiGCon,PubMed,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.8646000444889068
SemiGCon,PubMed,20,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.2,False,0.8252000391483307
SemiGCon,PubMed,50,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.2,False,0.8620000302791595
SemiGCon,PubMed,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.2,False,0.8250000417232514
SemiGCon,PubMed,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.2,False,0.8644000351428985
SemiGCon,PubMed,20,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.3,False,0.8152000308036804
SemiGCon,PubMed,50,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.3,False,0.8588000357151031
SemiGCon,PubMed,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,False,0.8236000418663025
SemiGCon,PubMed,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,False,0.8578000366687775
SemiGCon,PubMed,20,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.3,False,0.8202000439167023
SemiGCon,PubMed,50,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.3,False,0.8584000408649445
SemiGCon,PubMed,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.3,False,0.8216000378131867
SemiGCon,PubMed,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.3,False,0.8562000393867493
SemiGCon,PubMed,20,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.4,False,0.8114000380039215
SemiGCon,PubMed,50,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.4,False,0.8558000504970551
SemiGCon,PubMed,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,False,0.8164000272750854
SemiGCon,PubMed,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.4,False,0.8538000404834747
SemiGCon,PubMed,20,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.4,False,0.8142000317573548
SemiGCon,PubMed,50,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.4,False,0.8524000406265259
SemiGCon,PubMed,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.4,False,0.8156000316143036
SemiGCon,PubMed,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.4,False,0.8542000412940979
SemiGCon,PubMed,20,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.5,False,0.8144000351428986
SemiGCon,PubMed,50,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.5,False,0.848600035905838
SemiGCon,PubMed,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.5,False,0.8152000367641449
SemiGCon,PubMed,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.5,False,0.8456000328063965
SemiGCon,PubMed,20,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.5,False,0.8096000254154205
SemiGCon,PubMed,50,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.5,False,0.8460000395774842
SemiGCon,PubMed,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.5,False,0.8156000375747681
SemiGCon,PubMed,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.5,False,0.8480000436306
SemiGCon,PubMed,20,1,0.5,0.001,0.0,0.01,0.01,256,0.1,0.0,False,0.8302000403404236
SemiGCon,PubMed,50,1,0.5,0.001,0.0,0.01,0.01,256,0.1,0.0,False,0.8750000298023224
SemiGCon,PubMed,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.0,False,0.8336000442504883
SemiGCon,PubMed,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.1,0.0,False,0.8746000409126282
SemiGCon,PubMed,20,1,0.5,0.001,0.0,0.005,0.01,256,0.1,0.0,False,0.8328000366687774
SemiGCon,PubMed,50,1,0.5,0.001,0.0,0.005,0.01,256,0.1,0.0,False,0.8738000333309174
