model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
SelfGCon,PubMed,20,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.0,False,0.4964000225067139
SelfGCon,PubMed,50,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.0,False,0.49260001480579374
SelfGCon,PubMed,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.5074000209569931
SelfGCon,PubMed,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.48880002200603484
SelfGCon,PubMed,20,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.0,False,0.5078000217676163
SelfGCon,PubMed,50,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.0,False,0.49840001463890077
SelfGCon,PubMed,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.0,False,0.49900002479553224
SelfGCon,PubMed,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.0,False,0.4770000219345093
SelfGCon,PubMed,20,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.1,False,0.6760000288486481
SelfGCon,PubMed,50,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.1,False,0.6878000319004058
SelfGCon,PubMed,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.6872000277042389
SelfGCon,PubMed,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.7100000381469727
SelfGCon,PubMed,20,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.1,False,0.6728000402450561
SelfGCon,PubMed,50,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.1,False,0.6906000316143036
SelfGCon,PubMed,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.1,False,0.6926000356674195
SelfGCon,PubMed,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.1,False,0.7068000257015228
SelfGCon,PubMed,20,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.2,False,0.741200041770935
SelfGCon,PubMed,50,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.2,False,0.7322000384330749
SelfGCon,PubMed,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.7526000261306762
SelfGCon,PubMed,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.749200028181076
SelfGCon,PubMed,20,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.2,False,0.7360000312328339
