model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
SelfGCon,CiteSeer,20,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.0,False,0.287333349386851
SelfGCon,CiteSeer,50,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.0,False,0.2593333472808202
SelfGCon,CiteSeer,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.2820000151793162
SelfGCon,CiteSeer,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.26333335041999817
SelfGCon,CiteSeer,20,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.0,False,0.27266668279965717
SelfGCon,CiteSeer,50,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.0,False,0.27666668097178143
SelfGCon,CiteSeer,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.0,False,0.2686666746934255
SelfGCon,CiteSeer,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.0,False,0.24000000953674316
SelfGCon,CiteSeer,20,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.1,False,0.5766666928927103
SelfGCon,CiteSeer,50,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.1,False,0.5200000206629435
SelfGCon,CiteSeer,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.6113333702087402
SelfGCon,CiteSeer,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.5200000007947286
SelfGCon,CiteSeer,20,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.1,False,0.6000000238418579
SelfGCon,CiteSeer,50,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.1,False,0.5280000368754069
SelfGCon,CiteSeer,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.1,False,0.5926666855812073
SelfGCon,CiteSeer,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.1,False,0.5260000030199686
SelfGCon,CiteSeer,20,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.2,False,0.6633333563804626
SelfGCon,CiteSeer,50,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.2,False,0.5800000031789144
SelfGCon,CiteSeer,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.6740000247955322
SelfGCon,CiteSeer,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.2,False,0.5833333730697632
SelfGCon,CiteSeer,20,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.2,False,0.6640000343322754
SelfGCon,CiteSeer,50,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.2,False,0.5866667032241821
SelfGCon,CiteSeer,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.2,False,0.6620000203450521
SelfGCon,CiteSeer,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.2,False,0.5833333730697632
SelfGCon,CiteSeer,20,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.3,False,0.6966666976610819
SelfGCon,CiteSeer,50,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.3,False,0.6106667121251425
SelfGCon,CiteSeer,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.3,False,0.6806666851043701
