model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
SelfGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.0,False,0.3874000161886215
SelfGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.0,False,0.3536000162363052
SelfGCon,Cora,100,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.0,False,0.3292000114917755
SelfGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.3666000127792358
SelfGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.33780001699924467
SelfGCon,Cora,100,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.2952000141143799
SelfGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.0,False,0.36360001266002656
SelfGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.0,False,0.3532000154256821
SelfGCon,Cora,100,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.0,False,0.31560001373291013
SelfGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.0,False,0.35960001945495607
SelfGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.0,False,0.3312000185251236
SelfGCon,Cora,100,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.0,False,0.29980001747608187
SelfGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.1,False,0.7188000321388245
SelfGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.1,False,0.7058000266551971
SelfGCon,Cora,100,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.1,False,0.6718000292778015
SelfGCon,Cora,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.7440000355243683
SelfGCon,Cora,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.726600033044815
SelfGCon,Cora,100,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.6936000227928162
SelfGCon,Cora,20,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.1,False,0.7222000241279602
SelfGCon,Cora,50,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.1,False,0.702200037240982
