model,dataset,epochs,layers,tau,lr1,wd1,lr2,wd2,channels,edge_drop_rate,feat_mask_rate,mlp_use,val_acc
SelfGCon,PubMed,20,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.0,False,0.5082000285387039
SelfGCon,PubMed,50,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.0,False,0.5008000195026397
SelfGCon,PubMed,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.4976000189781189
SelfGCon,PubMed,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.0,False,0.48120002150535585
SelfGCon,PubMed,20,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.0,False,0.5066000252962113
SelfGCon,PubMed,50,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.0,False,0.496800023317337
SelfGCon,PubMed,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.0,False,0.5016000151634217
SelfGCon,PubMed,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.0,False,0.48800002634525297
SelfGCon,PubMed,20,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.1,False,0.7554000377655029
SelfGCon,PubMed,50,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.1,False,0.776000028848648
SelfGCon,PubMed,20,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.7736000418663025
SelfGCon,PubMed,50,1,0.5,0.001,0.0,0.01,0.0001,256,0.0,0.1,False,0.7892000317573548
SelfGCon,PubMed,20,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.1,False,0.7472000300884247
SelfGCon,PubMed,50,1,0.5,0.001,0.0,0.005,0.01,256,0.0,0.1,False,0.7782000422477722
SelfGCon,PubMed,20,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.1,False,0.7810000419616699
SelfGCon,PubMed,50,1,0.5,0.001,0.0,0.005,0.0001,256,0.0,0.1,False,0.7902000308036804
SelfGCon,PubMed,20,1,0.5,0.001,0.0,0.01,0.01,256,0.0,0.2,False,0.7478000342845916
