model,dataset,ratio,accuracy
SelfGCon,CiteSeer,0.009999999776482582,0.7263000279664993
SelfGCon,CiteSeer,0.019999999552965164,0.7276500403881073
SelfGCon,CiteSeer,0.030000001192092896,0.7254000395536423
SelfGCon,CiteSeer,0.04000000283122063,0.727000030875206
SelfGCon,CiteSeer,0.05000000447034836,0.7254000335931778
SelfGCon,CiteSeer,0.05999999865889549,0.724300029873848
SelfGCon,CiteSeer,0.07000000029802322,0.727400028705597
SelfGCon,CiteSeer,0.07999999821186066,0.7262500286102295
SelfGCon,CiteSeer,0.09000000357627869,0.7264000356197358
SelfGCon,CiteSeer,0.10000000149011612,0.725700032711029
