model,dataset,ratio,accuracy
SelfGCon,Cora,0.009999999776482582,0.8410000413656235
SelfGCon,Cora,0.019999999552965164,0.8421000421047211
SelfGCon,Cora,0.030000001192092896,0.8406000345945358
SelfGCon,Cora,0.04000000283122063,0.8411500424146652
SelfGCon,Cora,0.05000000447034836,0.8389500439167022
SelfGCon,Cora,0.05999999865889549,0.8423500329256057
SelfGCon,Cora,0.07000000029802322,0.8424000412225723
SelfGCon,Cora,0.07999999821186066,0.8406500399112702
SelfGCon,Cora,0.09000000357627869,0.8425000429153442
SelfGCon,Cora,0.10000000149011612,0.8419500380754471
