model,dataset,ratio,accuracy
SelfGCon,PubMed,0.009999999776482582,0.8148500353097916
SelfGCon,PubMed,0.019999999552965164,0.8127500414848328
SelfGCon,PubMed,0.030000001192092896,0.8147000372409821
SelfGCon,PubMed,0.04000000283122063,0.8137500405311584
SelfGCon,PubMed,0.05000000447034836,0.8134000360965729
SelfGCon,PubMed,0.05999999865889549,0.81185003221035
SelfGCon,PubMed,0.07000000029802322,0.8138500332832337
SelfGCon,PubMed,0.07999999821186066,0.8141500413417816
SelfGCon,PubMed,0.09000000357627869,0.8145000368356705
SelfGCon,PubMed,0.10000000149011612,0.8148000359535217
