model,dataset,ratio,accuracy
SelfGCon,CiteSeer,0.10000000149011612,0.7269500374794007
SelfGCon,CiteSeer,0.19999998807907104,0.7266500324010849
SelfGCon,CiteSeer,0.29999998211860657,0.7267000377178192
SelfGCon,CiteSeer,0.3999999761581421,0.7240500420331955
SelfGCon,CiteSeer,0.4999999701976776,0.7244000375270844
SelfGCon,CiteSeer,0.6000000238418579,0.7266500383615494
SelfGCon,CiteSeer,0.7000000476837158,0.7284000247716904
SelfGCon,CiteSeer,0.800000011920929,0.7217000335454941
SelfGCon,CiteSeer,0.8999999761581421,0.7260000348091126
SelfGCon,CiteSeer,1.0,0.7234500348567963
