model,dataset,ratio,accuracy
SelfGCon,Cora,0.10000000149011612,0.8415500342845916
SelfGCon,Cora,0.19999998807907104,0.8440000385046005
SelfGCon,Cora,0.29999998211860657,0.8425500333309174
SelfGCon,Cora,0.3999999761581421,0.8421500414609909
SelfGCon,Cora,0.4999999701976776,0.8386000335216522
SelfGCon,Cora,0.6000000238418579,0.8436000376939774
SelfGCon,Cora,0.7000000476837158,0.8404000371694564
SelfGCon,Cora,0.800000011920929,0.8407000422477722
SelfGCon,Cora,0.8999999761581421,0.8425000339746476
SelfGCon,Cora,1.0,0.8392500430345535
