model,dataset,ratio,accuracy
SelfGCon,PubMed,0.10000000149011612,0.8148500353097916
SelfGCon,PubMed,0.19999998807907104,0.8145500302314759
SelfGCon,PubMed,0.29999998211860657,0.8137000381946564
SelfGCon,PubMed,0.3999999761581421,0.8128000348806381
SelfGCon,PubMed,0.4999999701976776,0.8131000429391861
SelfGCon,PubMed,0.6000000238418579,0.8104500383138656
SelfGCon,PubMed,0.7000000476837158,0.8103500425815582
SelfGCon,PubMed,0.800000011920929,0.8139000356197357
SelfGCon,PubMed,0.8999999761581421,0.8105500400066376
SelfGCon,PubMed,1.0,0.8137500435113907
