model,dataset,ratio,accuracy
SelfGCon,CiteSeer,0.01,0.7350000143051147
SelfGCon,CiteSeer,0.01,0.7490000128746033
SelfGCon,CiteSeer,0.01,0.734000027179718
SelfGCon,CiteSeer,0.01,0.7320000529289246
SelfGCon,CiteSeer,0.01,0.7240000367164612
SelfGCon,CiteSeer,0.01,0.7240000367164612
SelfGCon,CiteSeer,0.01,0.7130000591278076
SelfGCon,CiteSeer,0.01,0.7150000333786011
SelfGCon,CiteSeer,0.01,0.7250000238418579
SelfGCon,CiteSeer,0.01,0.7290000319480896
SelfGCon,CiteSeer,0.01,0.7240000367164612
SelfGCon,CiteSeer,0.01,0.7320000529289246
SelfGCon,CiteSeer,0.01,0.7240000367164612
SelfGCon,CiteSeer,0.01,0.7300000190734863
SelfGCon,CiteSeer,0.01,0.7300000190734863
SelfGCon,CiteSeer,0.01,0.7150000333786011
SelfGCon,CiteSeer,0.01,0.7110000252723694
SelfGCon,CiteSeer,0.01,0.7320000529289246
SelfGCon,CiteSeer,0.01,0.7410000562667847
SelfGCon,CiteSeer,0.01,0.7210000157356262
SelfGCon,CiteSeer,0.1,0.7270000576972961
SelfGCon,CiteSeer,0.1,0.7250000238418579
SelfGCon,CiteSeer,0.1,0.7270000576972961
SelfGCon,CiteSeer,0.1,0.7330000400543213
SelfGCon,CiteSeer,0.1,0.7310000061988831
SelfGCon,CiteSeer,0.1,0.734000027179718
SelfGCon,CiteSeer,0.1,0.7390000224113464
SelfGCon,CiteSeer,0.1,0.7280000448226929
SelfGCon,CiteSeer,0.1,0.7280000448226929
SelfGCon,CiteSeer,0.1,0.7240000367164612
SelfGCon,CiteSeer,0.1,0.7220000624656677
SelfGCon,CiteSeer,0.1,0.7200000286102295
SelfGCon,CiteSeer,0.1,0.7270000576972961
SelfGCon,CiteSeer,0.1,0.737000048160553
SelfGCon,CiteSeer,0.1,0.7330000400543213
SelfGCon,CiteSeer,0.1,0.7230000495910645
SelfGCon,CiteSeer,0.1,0.7260000109672546
SelfGCon,CiteSeer,0.1,0.7330000400543213
SelfGCon,CiteSeer,0.1,0.7260000109672546
SelfGCon,CiteSeer,0.1,0.7200000286102295
SelfGCon,CiteSeer,0.5,0.7240000367164612
SelfGCon,CiteSeer,0.5,0.7230000495910645
SelfGCon,CiteSeer,0.5,0.7300000190734863
SelfGCon,CiteSeer,0.5,0.7260000109672546
SelfGCon,CiteSeer,0.5,0.737000048160553
SelfGCon,CiteSeer,0.5,0.7410000562667847
SelfGCon,CiteSeer,0.5,0.7290000319480896
SelfGCon,CiteSeer,0.5,0.7270000576972961
SelfGCon,CiteSeer,0.5,0.734000027179718
SelfGCon,CiteSeer,0.5,0.7250000238418579
SelfGCon,CiteSeer,0.5,0.7040000557899475
SelfGCon,CiteSeer,0.5,0.7120000123977661
SelfGCon,CiteSeer,0.5,0.7240000367164612
SelfGCon,CiteSeer,0.5,0.7190000414848328
SelfGCon,CiteSeer,0.5,0.718000054359436
SelfGCon,CiteSeer,0.5,0.7360000610351562
SelfGCon,CiteSeer,0.5,0.7200000286102295
SelfGCon,CiteSeer,0.5,0.7160000205039978
SelfGCon,CiteSeer,0.5,0.7330000400543213
SelfGCon,CiteSeer,0.5,0.7330000400543213
