model,dataset,ratio,accuracy
SelfGCon,Cora,0.01,0.8490000367164612
SelfGCon,Cora,0.01,0.8440000414848328
SelfGCon,Cora,0.01,0.8470000624656677
SelfGCon,Cora,0.01,0.8520000576972961
SelfGCon,Cora,0.01,0.8470000624656677
SelfGCon,Cora,0.01,0.8440000414848328
SelfGCon,Cora,0.01,0.8380000591278076
SelfGCon,Cora,0.01,0.8420000672340393
SelfGCon,Cora,0.01,0.8210000395774841
SelfGCon,Cora,0.01,0.8390000462532043
SelfGCon,Cora,0.01,0.8360000252723694
SelfGCon,Cora,0.01,0.8460000157356262
SelfGCon,Cora,0.01,0.8380000591278076
SelfGCon,Cora,0.01,0.8350000381469727
SelfGCon,Cora,0.01,0.8370000123977661
SelfGCon,Cora,0.01,0.843000054359436
SelfGCon,Cora,0.01,0.8510000109672546
SelfGCon,Cora,0.01,0.8400000333786011
SelfGCon,Cora,0.01,0.843000054359436
SelfGCon,Cora,0.01,0.8170000314712524
SelfGCon,Cora,0.1,0.8340000510215759
SelfGCon,Cora,0.1,0.8480000495910645
SelfGCon,Cora,0.1,0.8520000576972961
SelfGCon,Cora,0.1,0.8340000510215759
SelfGCon,Cora,0.1,0.8500000238418579
SelfGCon,Cora,0.1,0.8360000252723694
SelfGCon,Cora,0.1,0.8380000591278076
SelfGCon,Cora,0.1,0.8400000333786011
SelfGCon,Cora,0.1,0.8470000624656677
SelfGCon,Cora,0.1,0.8490000367164612
SelfGCon,Cora,0.1,0.8390000462532043
SelfGCon,Cora,0.1,0.8480000495910645
SelfGCon,Cora,0.1,0.8340000510215759
SelfGCon,Cora,0.1,0.8380000591278076
SelfGCon,Cora,0.1,0.8410000205039978
SelfGCon,Cora,0.1,0.843000054359436
SelfGCon,Cora,0.1,0.8420000672340393
SelfGCon,Cora,0.1,0.8450000286102295
SelfGCon,Cora,0.1,0.8380000591278076
SelfGCon,Cora,0.1,0.8350000381469727
SelfGCon,Cora,0.5,0.8530000448226929
SelfGCon,Cora,0.5,0.8480000495910645
SelfGCon,Cora,0.5,0.8440000414848328
SelfGCon,Cora,0.5,0.8440000414848328
SelfGCon,Cora,0.5,0.8440000414848328
SelfGCon,Cora,0.5,0.8440000414848328
SelfGCon,Cora,0.5,0.8400000333786011
SelfGCon,Cora,0.5,0.8420000672340393
SelfGCon,Cora,0.5,0.8490000367164612
SelfGCon,Cora,0.5,0.8440000414848328
SelfGCon,Cora,0.5,0.8490000367164612
SelfGCon,Cora,0.5,0.8450000286102295
SelfGCon,Cora,0.5,0.8400000333786011
SelfGCon,Cora,0.5,0.8350000381469727
SelfGCon,Cora,0.5,0.8350000381469727
SelfGCon,Cora,0.5,0.8440000414848328
SelfGCon,Cora,0.5,0.8490000367164612
SelfGCon,Cora,0.5,0.8450000286102295
SelfGCon,Cora,0.5,0.8450000286102295
SelfGCon,Cora,0.5,0.8380000591278076
