model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,drop_edge_rate,drop_feat_rate,accuracy
GRACE,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.4,0.4,tensor(0.7890)
GRACE,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.4,0.4,tensor(0.8300)
GRACE,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.4,0.4,tensor(0.8100)
GRACE,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.4,0.4,tensor(0.8170)
GRACE,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.4,0.4,tensor(0.8260)
GRACE,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.4,0.4,tensor(0.7970)
GRACE,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.4,0.4,tensor(0.8310)
GRACE,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.4,0.4,tensor(0.8110)
GRACE,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.4,0.4,tensor(0.7960)
GRACE,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.4,0.4,tensor(0.8200)
