model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,drop_edge_rate,drop_feat_rate,accuracy
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.8370)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.8300)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.8300)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.8270)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.8170)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.8300)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.8290)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.8380)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.8270)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.8330)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.8270)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.8320)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.8320)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.8340)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.8150)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.8280)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.8250)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.8330)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.8370)
GRACE,CiteSeer,20,1,0.5,0.001,0.01,0.01,512,0.3,0.3,tensor(0.8290)
