model,dataset,epochs,layers,tau,lr1,lr2,wd2,channels,drop_edge_rate,drop_feat_rate,accuracy
GRACE,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.4,0.4,tensor(0.9200)
GRACE,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.4,0.4,tensor(0.9140)
GRACE,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.4,0.4,tensor(0.9200)
GRACE,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.4,0.4,tensor(0.9220)
GRACE,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.4,0.4,tensor(0.9200)
GRACE,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.4,0.4,tensor(0.9230)
GRACE,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.4,0.4,tensor(0.9220)
GRACE,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.4,0.4,tensor(0.9240)
GRACE,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.4,0.4,tensor(0.9190)
GRACE,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.4,0.4,tensor(0.9230)
GRACE,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.4,0.4,tensor(0.9200)
GRACE,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.4,0.4,tensor(0.9250)
GRACE,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.4,0.4,tensor(0.9150)
GRACE,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.4,0.4,tensor(0.9250)
GRACE,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.4,0.4,tensor(0.9230)
GRACE,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.4,0.4,tensor(0.9210)
GRACE,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.4,0.4,tensor(0.9230)
GRACE,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.4,0.4,tensor(0.9240)
GRACE,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.4,0.4,tensor(0.9180)
GRACE,Cora,50,2,0.5,0.001,0.01,0.0001,512,0.4,0.4,tensor(0.9220)
